Start Time,End Time,Text
00:00:02.102,00:00:04.438,"Tyra: PREVIOUSLY ON
""AMERICA'S NEXT TOP MODEL""..."
00:00:04.438,00:00:06.974,"Cassie: I WORRY ABOUT
WHAT I EAT 24-7."
00:00:06.974,00:00:08.742,"Tyra: CASSIE
REVEALED AN OBSESSION"
00:00:08.742,00:00:09.743,WITH HER BODY IMAGE...
00:00:09.743,00:00:11.078,"Cassie:
I WANT TO BE A MODEL."
00:00:11.078,00:00:13.046,"I FEEL LIKE I SHOULD
BE SKINNY."
00:00:13.046,00:00:15.816,"Tyra: AND NORELLE
STRUGGLED ON THE RUNWAY."
00:00:17.985,00:00:19.853,Norelle: WHOA!
00:00:19.853,00:00:20.954,Audience: (gasps)
00:00:20.954,00:00:22.089,"Tyra:
WHEN KELLE FAILED AGAIN"
00:00:22.089,00:00:23.757,"TO PROVE SHE WAS
PHOTOGENIC,"
00:00:23.757,00:00:25.392,SHE WAS SENT PACKING.
00:00:25.392,00:00:27.194,EIGHT GIRLS REMAIN.
00:00:27.194,00:00:29.863,"WHO WILL BE
ELIMINATED TONIGHT?"
00:00:29.863,00:00:32.766,♪♪♪
00:01:07.703,00:01:08.068,♪♪♪
00:01:13.006,00:01:15.008,"Eva: I JUST FELL
ON THE LAVA!"
00:01:15.008,00:01:17.110,"OH, MY GOD!
OH, MY GOD!"
00:01:17.110,00:01:19.546,DON'T SAY THAT!
00:01:19.546,00:01:21.181,"Amanda:
LONDON BRIDGE!"
00:01:21.181,00:01:23.083,"Norelle: DON'T FALL
IN THE LAVA."
00:01:23.083,00:01:24.284,"Amanda:
ARE YOU A CHEERLEADER?"
00:01:24.284,00:01:26.420,"Eva: OH, MY GOD!"
00:01:26.420,00:01:28.355,"Ann: HOW FUNNY WAS THAT,
THE LAVA?"
00:01:28.355,00:01:30.357,"Cassie:
I'M JUST NOT HAVING FUN."
00:01:30.357,00:01:31.458,"I DON'T WANT TO MISS
MY FAMILY,"
00:01:31.458,00:01:33.160,"AND I DON'T WANT
TO MISS MY BOYFRIEND,"
00:01:33.160,00:01:35.395,"BUT MY HEART IS HURTING
RIGHT NOW."
00:01:35.395,00:01:38.999,"IT'S JUST REALLY SAD, LIKE,
THERE'S A SADNESS INSIDE OF ME."
00:01:38.999,00:01:40.300,"LIFE CHANGES
IF YOU WIN THIS."
00:01:40.300,00:01:41.268,"Cassie's boyfriend:
YEAH."
00:01:41.268,00:01:43.103,"Cassie: YOU HAVE
TO MOVE TO NEW YORK."
00:01:43.103,00:01:44.938,"YOU DON'T HAVE TIME FOR
A BOYFRIEND ANYMORE."
00:01:44.938,00:01:46.940,"YOU DON'T HAVE TIME
TO DO ANYTHING EXCEPT WORK."
00:01:46.940,00:01:48.508,"Cassie's boyfriend:
I MEAN, HEY,"
00:01:48.508,00:01:49.576,"YOU GOTTA DO
WHAT YOU GOTTA DO."
00:01:49.576,00:01:51.211,"Cassie: WILL YOU
GO THERE WITH ME?"
00:01:51.211,00:01:52.980,"Cassie's boyfriend:
AM I GONNA COME WITH YOU?"
00:01:52.980,00:01:55.248,"WELL, I'M NOT JUST GONNA
PICK UP AND LEAVE."
00:01:55.248,00:01:57.417,"Cassie: NO, C.J.!"
00:01:57.417,00:01:59.319,"I DON'T WANT
TO LET YOU GO."
00:01:59.319,00:02:02.089,I LOVE YOU.
00:02:07.494,00:02:09.463,"Toccara: THAT CHICKEN'S
STARTING TO LOOK GOOD, THOUGH."
00:02:09.463,00:02:10.964,"Yaya: SERIOUSLY,
YOU'RE GONNA GET SICK"
00:02:10.964,00:02:12.966,"IF YOU JUST LEAVE IT
LIKE THAT."
00:02:12.966,00:02:14.601,"Toccara: I DO
LIKE THAT ALL THE TIME."
00:02:14.601,00:02:16.103,"I MIGHT ROLL OVER IN THE MIDDLE
OF THE NIGHT AND EAT SOMETHING."
00:02:16.103,00:02:17.270,MY MAMA EAT IN HER SLEEP.
00:02:17.270,00:02:18.271,"Yaya:
THAT'S NOT GOOD."
00:02:18.271,00:02:20.574,"Toccara: WHEN SHE BE ASLEEP,
SHE BE LIKE..."
00:02:22.909,00:02:24.845,"I LOVE MYSELF.
I LOVE MY SHAPE."
00:02:24.845,00:02:26.146,I LOVE MY CURVES.
00:02:26.146,00:02:28.482,"SOME PEOPLE THINK
THAT AMERICA'S ""NOT READY"""
00:02:28.482,00:02:30.317,FOR A PLUS-SIZED MODEL.
00:02:30.317,00:02:32.052,"I'M HERE
TO BREAK THAT NORM."
00:02:32.052,00:02:33.854,"I WANT TO BE THE FIRST
BLACK PLUS-SIZED MODEL"
00:02:33.854,00:02:35.922,"TO BE ON THE COVER
OF 20 MAGAZINES."
00:02:35.922,00:02:37.624,"I DON'T WANT
TO STAY IN MY CATEGORY."
00:02:37.624,00:02:39.960,"I WANT TO GO INTO
THE ""STRAIGHT SIDE."""
00:02:39.960,00:02:41.528,"Norelle: I WISH
I WAS MORE LIKE TOCCARA."
00:02:41.528,00:02:43.063,SHE'S FABULOUS.
00:02:43.063,00:02:44.231,"SHE HAS CONFIDENCE
IN HERSELF."
00:02:44.231,00:02:46.033,CAN YOU SEE IT?
00:02:46.033,00:02:48.168,"Ann: EVERYONE HAS THAT,
LIKE, I HAVE THAT."
00:02:48.168,00:02:50.037,"Norelle: MY STOMACH
HAS, LIKE, A LITTLE PUDGE."
00:02:50.037,00:02:51.605,"I WOULD LIKE IT
TO BE MORE ABBY,"
00:02:51.605,00:02:53.306,"AND I STILL HAVE
A LITTLE BIT OF FLABBY."
00:02:55.275,00:02:57.878,(telephone ringing)
00:02:57.878,00:03:00.080,"- Yaya: HELLO.
- Tyra: Hi, it's Tyra."
00:03:00.080,00:03:01.915,"All right, I need you to get
everybody together, okay?"
00:03:01.915,00:03:04.317,"Because you guys are gonna
meet me for a little challenge."
00:03:04.317,00:03:06.420,"Now you need to wear
some comfortable shoes,"
00:03:06.420,00:03:08.221,"but bring some
high heels, too."
00:03:08.221,00:03:10.590,"Yaya:
GOOD MORNING, HELLO!"
00:03:10.590,00:03:11.591,"I JUST GOT A CALL
FROM TYRA."
00:03:11.591,00:03:13.460,"WE HAVE TO DRESS
LIKE WE'RE GOING TO PANEL"
00:03:13.460,00:03:15.462,AND BRING COMFORTABLE SHOES.
00:03:15.462,00:03:17.164,TYRA JUST CALLED.
00:03:17.164,00:03:19.166,WAKE UP.
00:03:19.166,00:03:21.301,"Norelle: WE WERE TOLD
TO BRING FLATS AND HEELS."
00:03:21.301,00:03:22.402,WE DIDN'T KNOW WHY.
00:03:22.402,00:03:25.238,"Toccara: SHE'S WALKING
OUT THE DOOR."
00:03:27.074,00:03:29.609,♪♪♪
00:03:31.311,00:03:32.345,"Tyra: HI, EVERYBODY."
00:03:32.345,00:03:33.580,"Eva: HEY, TYRA."
00:03:33.580,00:03:35.015,"Tyra: SO YOU GUYS HAVE BEEN
WORKING REALLY HARD"
00:03:35.015,00:03:36.483,"FOR THE LAST
COUPLE OF WEEKS."
00:03:36.483,00:03:38.919,"YOU'VE BEEN WORKING WITH SOME
OF THE TOP PHOTOGRAPHERS,"
00:03:38.919,00:03:40.987,"BUT PEOPLE
DON'T KNOW YOU EXIST."
00:03:40.987,00:03:44.357,"NOW IT'S TIME TO SEND YOU OUT
TO THE SHARKS."
00:03:44.357,00:03:47.360,"YOU'RE GONNA EXPERIENCE
A DAY IN THE LIFE OF A MODEL"
00:03:47.360,00:03:50.197,"GOING ON GO-SEES DURING
FASHION WEEK."
00:03:50.197,00:03:52.866,"A GO-SEE MEANS YOU
JUST GO SEE THE CLIENT"
00:03:52.866,00:03:55.902,"TO LET THEM KNOW THAT
YOU ARE ALIVE,"
00:03:55.902,00:03:58.038,"SO WE HAVE PUT TOGETHER
PORTFOLIOS HERE."
00:03:58.038,00:04:00.407,Girls: (squealing)
00:04:00.407,00:04:02.008,"Eva: TYRA GAVE US
OUR PORTFOLIOS,"
00:04:02.008,00:04:05.078,"OUR BEST PHOTOS THAT
WE HAVE TAKEN THUS FAR."
00:04:05.078,00:04:05.912,I WAS SO STOKED.
00:04:07.314,00:04:09.216,"IT WAS JUST SO EXCITING,"
00:04:09.216,00:04:11.418,"'CAUSE IT MAKES YOU FEEL LIKE,
""HEY, I'M MODELING."
00:04:11.418,00:04:13.420,"I CAN DO THIS, TOO."""
00:04:13.420,00:04:16.389,"Ann: I'M THE ONE THAT HAS,
LIKE, THE WORST PORTFOLIO."
00:04:16.389,00:04:19.024,"Nolé: YOUR BODY LANGUAGE
IS NOT GOOD."
00:04:19.024,00:04:21.428,"Tyra: OUT OF ALL THE GIRLS,
YOU WERE THE WORST."
00:04:21.428,00:04:24.097,"Ann: LAST WEEK I WAS IN
THE BOTTOM TWO FOR ELIMINATION."
00:04:24.097,00:04:26.399,"Tyra: PRETTY GIRL,
NOT PHOTOGENIC."
00:04:26.399,00:04:29.136,"Ann: BUT I FEEL
GOOD ABOUT GO-SEES,"
00:04:29.136,00:04:31.204,"BECAUSE IT'S IN PERSON,
AND IT'S NOT PICTURES."
00:04:31.204,00:04:35.075,"THEY'LL LIKE ME IN PERSON,
AND I'M PRETTY IN PERSON."
00:04:35.075,00:04:36.943,"Tyra: YOU'RE GONNA BE JUDGED
ON OVERALL LOOKS."
00:04:36.943,00:04:39.212,"WE KNOW THIS IS
THE MODELING INDUSTRY,"
00:04:39.212,00:04:40.213,SO IT IS ABOUT THE PHYSICAL.
00:04:40.213,00:04:42.449,"YOU'RE GONNA BE JUDGED
ON YOUR WALK."
00:04:42.449,00:04:45.986,"YOU'RE ALSO GONNA BE
JUDGED ON YOUR PERSONALITY."
00:04:45.986,00:04:49.589,"OF COURSE, WHOEVER GETS
THE MOST PRAISE"
00:04:49.589,00:04:52.292,"GETS AN AMAZING PRIZE--
A RACK OF CLOTHES..."
00:04:52.292,00:04:53.426,"Eva: OH, MY..."
00:04:53.426,00:04:55.562,"Tyra: ...FROM EACH DESIGNER
THAT YOU SEE TODAY."
00:04:55.562,00:04:58.431,"THESE GIRLS
ARE SO LUCKY."
00:04:58.431,00:05:00.667,"I SET UP FOR THEM TO HAVE
GO-SEES WITH FIVE"
00:05:00.667,00:05:02.536,"OF THE TOP DESIGNERS
IN NEW YORK CITY--"
00:05:05.305,00:05:06.473,"DIANE VON FURSTENBERG,"
00:05:10.410,00:05:11.878,"NANETTE LEPORE,"
00:05:14.147,00:05:15.315,"MARC BOUWER,"
00:05:17.918,00:05:19.119,CYNTHIA ROWLEY
00:05:21.955,00:05:23.924,AND NICOLE MILLER.
00:05:30.363,00:05:32.165,"Ann: GOING TO THE GO-SEES,
I KNOW I HAVE TO MAKE"
00:05:32.165,00:05:34.935,"THE RIGHT IMPRESSION,
YOU KNOW, COME ACROSS"
00:05:34.935,00:05:36.570,"AS BEING SOMEONE THAT
THEY WANT TO WORK WITH."
00:05:36.570,00:05:37.571,"Nicole Miller:
I'M NICOLE."
00:05:37.571,00:05:39.072,"Ann: I'M ANN.
NICE TO MEET YOU."
00:05:39.072,00:05:40.106,"Nicole Miller:
LIKE YOUR T-SHIRT."
00:05:40.106,00:05:41.474,"- IT'S CUTE.
- Ann: THANK YOU."
00:05:41.474,00:05:42.943,"IT'S DIFFERENT BEING
IN NEW YORK,"
00:05:42.943,00:05:44.578,"'CAUSE I'M SO NOT USED TO,
LIKE, FASHION AND STUFF."
00:05:44.578,00:05:46.079,"Nicole Miller:
WELL, WE'RE CASTING FOR"
00:05:46.079,00:05:48.148,"OUR MILLER GIRL
FASHION SHOW,"
00:05:48.148,00:05:51.918,"SO WE WANT SOMEBODY WITH
A REALLY YOUNG, PEPPY LOOK."
00:05:51.918,00:05:53.486,"SO WE'RE GONNA PUT
AN OUTFIT ON YOU,"
00:05:53.486,00:05:55.255,"AND THEN WE'RE
GONNA SEE HOW YOU WALK."
00:05:55.255,00:05:56.289,"Ann:
SOUNDS GOOD."
00:05:56.289,00:05:58.625,"Woman: GREAT LOOKS,
GOOD PERSONALITY."
00:05:58.625,00:06:01.595,♪♪♪
00:06:07.567,00:06:08.835,"Nicole Miller: SO HOW'D YOU
GET THE NAME YAYA?"
00:06:08.835,00:06:10.237,THAT'S SO UNUSUAL.
00:06:10.237,00:06:12.205,"Yaya: IT'S ACTUALLY
REALLY COMMON IN WEST AFRICA."
00:06:12.205,00:06:14.140,"Nicole Miller:
OKAY."
00:06:14.140,00:06:16.376,"Toccara: NICOLE MILLER,
HER CLOTHES ARE GREAT."
00:06:16.376,00:06:19.112,"THEY FIT ME, AND I FELT
VERY WONDERFUL IN THEM."
00:06:19.112,00:06:21.381,Norelle: HI.
00:06:21.381,00:06:22.382,"Nicole Miller:
WHERE ARE YOU FROM?"
00:06:22.382,00:06:24.184,"Norelle: CALIFORNIA,
ORANGE COUNTY."
00:06:24.184,00:06:26.186,"I DON'T THINK I'M THE
MOST BEAUTIFUL GIRL HERE."
00:06:26.186,00:06:29.022,"LIKE, I'M SO, LIKE, FUNNY
AND RETARDED, LIKE, DORKY GIRL."
00:06:29.022,00:06:30.257,"Nicole Miller: YOU'VE
NEVER DONE ANY MODELING?"
00:06:30.257,00:06:31.524,AH.
00:06:31.524,00:06:33.460,"Norelle: AND I JUST HOPE
THAT THEY SEE, LIKE,"
00:06:33.460,00:06:34.861,SOME POTENTIAL IN ME.
00:06:34.861,00:06:36.897,"Nicole Miller: NO, NO, NO,
NO, STOP RIGHT THERE."
00:06:36.897,00:06:40.066,"MORE LIKE
AN ASSERTIVE WALK, OKAY?"
00:06:42.068,00:06:44.437,"Amanda: I WANTED
TO SLAP MYSELF"
00:06:44.437,00:06:46.840,"WHEN I SAW THAT
ALL THE OTHER GIRLS"
00:06:46.840,00:06:49.175,"HAVE HIGH HEELS WITH 'EM,
AND I DON'T."
00:06:49.175,00:06:51.411,"Eva: YOU OF ALL PEOPLE
GONNA FORGET YOUR SHOES."
00:06:51.411,00:06:53.847,"Amanda: I JUST
WASN'T THINKING."
00:06:53.847,00:06:55.215,"Norelle: AMANDA
DIDN'T HAVE SHOES,"
00:06:55.215,00:06:56.616,"SO I LET HER
BORROW MY SHOES."
00:06:56.616,00:06:58.018,"Amanda:
I GOTTA WEAR SHOES"
00:06:58.018,00:06:59.619,"THAT WERE ONE AND A HALF
SIZES TOO SMALL."
00:07:02.155,00:07:04.524,"MY WALK'S VERY UNEVEN
AND KINDA LIKE,"
00:07:04.524,00:07:08.061,SWAYED TO AND FRO.
00:07:08.061,00:07:09.396,"Nicole Miller:
OKAY."
00:07:09.396,00:07:11.364,"Amanda: RIGHT NOW
I NEED TO DO SOMETHING"
00:07:11.364,00:07:13.533,"THAT MAKES MY CONFIDENCE
HIGHER."
00:07:13.533,00:07:15.969,"Ann:
AMANDA FORGOT HER SHOES,"
00:07:15.969,00:07:19.839,"SO SHE NEEDED TO RUN
TO THE STORE,"
00:07:19.839,00:07:21.875,"AND, OF COURSE,
WE ALL WANTED TO GO."
00:07:21.875,00:07:23.109,"WE WANTED TO LOOK
AT SHOES."
00:07:23.109,00:07:27.380,"AND SO AMANDA WENT,
EVA WENT, I WENT,"
00:07:27.380,00:07:29.082,"TOCCARA WENT
AND CASSIE WENT."
00:07:29.082,00:07:32.185,"Amanda: 7 1/2, TALL STILETTO,
BRIGHT COLOR."
00:07:32.185,00:07:33.253,Ann: I LOVE SHOES.
00:07:33.253,00:07:34.487,"Cassie: AND IT WAS
ONLY 15 MINUTES"
00:07:34.487,00:07:35.989,BEFORE OUR NEXT GO-SEE.
00:07:38.158,00:07:40.961,♪♪♪
00:07:43.096,00:07:44.230,"Yaya:
THIS IS A COMPETITION,"
00:07:44.230,00:07:47.334,"AND SO NOT ALL OF US
WERE RUNNING AROUND."
00:07:47.334,00:07:49.469,"I UNDERSTAND IF ONE PERSON
NEEDS TO GET A PAIR OF SHOES,"
00:07:49.469,00:07:52.272,"BUT THE FACT THAT IT TURNED
INTO A FIELD TRIP,"
00:07:52.272,00:07:54.574,I WAS NOT HAPPY.
00:07:54.574,00:07:55.508,"Eva:
WHAT TIME YOU GOT?"
00:07:55.508,00:07:57.110,"Ann: WE HAD 15 MINUTES,"
00:07:57.110,00:07:59.512,"AND I THINK WE WERE THERE
A LITTLE LONGER."
00:07:59.512,00:08:02.415,♪♪♪
00:08:07.387,00:08:09.089,"Toccara:
WHERE'S THE CAR?"
00:08:09.089,00:08:12.525,"OUR VEHICLES
HAD LEFT US, GONE."
00:08:12.525,00:08:14.327,"GONE, JUST GONE."
00:08:14.327,00:08:15.495,(horn honks)
00:08:15.495,00:08:16.496,"Cassie: OUR VAN IS GONE,"
00:08:16.496,00:08:19.566,"AND WE DON'T KNOW WHERE
OUR NEXT GO-SEE IS."
00:08:21.501,00:08:24.871,"Ann: WE WENT BACK UP
TO NICOLE MILLER."
00:08:24.871,00:08:26.906,"Cassie: HI, DO YOU GUYS
HAVE OUR ITINERARY?"
00:08:26.906,00:08:27.974,"- I MEAN, THEY LEFT US.
- Eva: DO YOU?"
00:08:27.974,00:08:29.576,"Cassie: DO YOU KNOW ANYWHERE
ABOUT WHERE WE'RE GOING?"
00:08:29.576,00:08:32.379,"Woman: GO TO WEST 39th
BETWEEN 7th AND 8th."
00:08:32.379,00:08:33.947,"Woman: EVA, DO YOU
WANT US TO HELP YOU?"
00:08:33.947,00:08:35.081,Eva: PLEASE!
00:08:35.081,00:08:36.383,Ann: EVA!
00:08:36.383,00:08:38.183,"- Toccara: EVERYONE IS GO--
- Ann: I'M NOT LEAVING EVA!"
00:08:38.183,00:08:39.586,Toccara: WHAT IS IT?
00:08:39.586,00:08:41.287,"Ann:
DAMN, DON'T RIP IT!"
00:08:41.287,00:08:43.023,Toccara: 214!
00:08:43.023,00:08:45.959,"Cassie: YOU GUYS LEFT ME!
WHAT THE HELL?"
00:08:45.959,00:08:47.894,"Toccara:
GET OUT OF THE WAY!"
00:08:57.252,00:09:01.306,♪♪♪
00:09:01.306,00:09:02.307,"Cassie: OUR VAN IS GONE,"
00:09:02.307,00:09:05.243,"AND WE DON'T KNOW WHERE
OUR NEXT GO-SEE IS."
00:09:05.243,00:09:06.444,"NONE OF US
WERE NEW YORKERS."
00:09:06.444,00:09:07.445,EVERYONE WAS FREAKING OUT.
00:09:07.445,00:09:08.647,Eva: THEY LEFT US.
00:09:08.647,00:09:10.549,"DO YOU KNOW ANYWHERE
ABOUT WHERE WE'RE GOING?"
00:09:10.549,00:09:11.983,Woman: GO TO WEST 39th.
00:09:11.983,00:09:15.187,"Yaya: NICOLE, NORELLE
AND I ARRIVED FIRST,"
00:09:15.187,00:09:17.322,"AND WE WERE WAITING
IN THE LOBBY FOR THEM."
00:09:17.322,00:09:19.424,"I FELT LIKE A HALF AN HOUR
WENT BY."
00:09:21.126,00:09:23.461,"Cassie: WE WERE 20 MINUTES
LATE TO NANETTE LEPORE."
00:09:23.461,00:09:24.963,"Eva: UP, I'M GOING UP."
00:09:24.963,00:09:27.065,"Amanda:
WE'RE ALREADY LATE."
00:09:27.065,00:09:28.934,"Cassie: COME ON, COME ON,
COME ON, WE'RE IN SUCH A HURRY."
00:09:28.934,00:09:33.004,"Woman: HI,
WELCOME TO NANETTE LEPORE."
00:09:33.004,00:09:34.406,Man: MODELS.
00:09:34.406,00:09:36.074,Yaya: HI!
00:09:36.074,00:09:38.076,"Nanette: NOW I HAVE
TO TELL EVERYONE"
00:09:38.076,00:09:39.711,"THAT YOU'RE
20 MINUTES LATE."
00:09:39.711,00:09:41.479,I'M VERY UPSET.
00:09:41.479,00:09:43.481,"YOU REALLY HAVE TO MAKE
YOUR DEADLINES"
00:09:43.481,00:09:46.418,"IF YOU'RE SERIOUS ABOUT
HAVING A CAREER IN MODELING."
00:09:46.418,00:09:48.353,"SO WE'RE GONNA BRING YOU
BACK IN ONE AT A TIME"
00:09:48.353,00:09:50.722,"AND JUST PLEASE REMEMBER,
IF YOU HAVE TO MEET"
00:09:50.722,00:09:53.024,"ANY KIND OF DEADLINE
WHERE I'M INVOLVED,"
00:09:53.024,00:09:54.593,"PLEASE RESPECT IT
FROM NOW ON."
00:09:54.593,00:09:55.594,Man: WHOSE FAULT WAS IT?
00:09:55.594,00:09:56.595,Eva: THERE WAS FIVE OF US.
00:09:56.595,00:09:58.096,"Toccara: THERE WAS FIVE
OF US BUT..."
00:09:58.096,00:09:59.731,"Amanda: I'LL TAKE
ALL RESPONSIBILITY."
00:09:59.731,00:10:02.567,"I DON'T THINK SHE UNDERSTOOD
THE FACT THAT IT WASN'T JUST ME."
00:10:04.603,00:10:06.338,"Nanette: SO WHAT SIZE
ARE YOU?"
00:10:06.338,00:10:08.473,"Amanda:
UM, THESE ARE 25s."
00:10:08.473,00:10:13.144,"I FELT TAKING RESPONSIBILITY
WOULD GET ME SOME POINTS,"
00:10:13.144,00:10:16.348,"BUT IT JUST MADE HER
REALLY DISLIKE ME."
00:10:16.348,00:10:17.983,"Nanette:
OKAY, SO AMANDA."
00:10:17.983,00:10:19.618,"I GAVE HER ""HIPPYISH""
FOR PERSONAL STYLE,"
00:10:19.618,00:10:21.186,"A LITTLE
BIKER MEETS HIPPY."
00:10:21.186,00:10:22.654,"Man: SHE'S ALSO REALLY
LONG-WAISTED."
00:10:22.654,00:10:24.389,SHE'S GOT REALLY SHORT LEGS.
00:10:24.389,00:10:25.190,Nanette: POOR THING.
00:10:25.190,00:10:26.524,NICOLE.
00:10:26.524,00:10:27.993,"SHE LOOKS LIKE
SHE'S GOT IT ALMOST."
00:10:27.993,00:10:29.527,Man: YEAH.
00:10:29.527,00:10:31.463,"EVA, I FIND SOMETHING"
00:10:31.463,00:10:33.531,"A LITTLE BIT PIGGY
ABOUT HER NOSE."
