Start Time,End Time,Text
00:00:07.179,00:00:10.214,♪♪♪
00:00:10.214,00:00:11.817,THE LIFE OF A TOP MODEL
00:00:11.817,00:00:13.385,IS THE STUFF OF DREAMS.
00:00:13.385,00:00:16.221,"YOUNG GIRLS EVERYWHERE
FANTASIZE ABOUT THE GLITZ,"
00:00:16.221,00:00:17.589,"THE GLAMOUR,"
00:00:17.589,00:00:19.524,"AND THE GOAL OF TRANSFORMING
FROM AWKWARD TEENS"
00:00:19.524,00:00:21.893,TO RUNWAY IDOLS.
00:00:21.893,00:00:24.362,"AND THEY'RE ALL WAITING
FOR THEIR BIG BREAK."
00:00:24.362,00:00:25.597,"I CAN WIN,
I KNOW IT."
00:00:25.597,00:00:26.898,"I'M GONNA BLOW
EVERYBODY AWAY."
00:00:26.898,00:00:28.300,"AMERICA'S
NEXT TOP MODEL."
00:00:28.300,00:00:29.868,STAY TUNED.
00:00:29.868,00:00:32.637,"FOR OUR SIXTH CYCLE OF
""AMERICA'S NEXT TOP MODEL,"""
00:00:32.637,00:00:36.508,"I GAVE 32 PROMISING GIRLS A
CHANCE TO FLY TO LOS ANGELES"
00:00:36.508,00:00:40.779,"AND PROVE THEY HAD TOP MODEL
POTENTIAL."
00:00:40.779,00:00:41.880,WE MADE THEM WALK.
00:00:44.883,00:00:45.884,TALK.
00:00:45.884,00:00:47.385,"I KNOW I'M PRETTY,
YOU KNOW,"
00:00:47.385,00:00:49.454,"I HEAR IT ENOUGH THAT IT'S JUST
ABSOLUTELY RIDICULOUS"
00:00:49.454,00:00:50.822,"WHY I'M NOT
A SUPERMODEL."
00:00:50.822,00:00:52.491,"IF YOU'RE GONNA ASK ME TO GET
DOWN AND STRIP NAKED,"
00:00:52.491,00:00:53.492,I WILL DO IT.
00:00:53.492,00:00:54.493,WELL?
00:00:54.493,00:00:55.794,"BUT THE THING IS,
LIKE,"
00:00:55.794,00:00:57.662,"MY PARENTS KIND OF HAVE A THING
WITH THAT."
00:00:57.662,00:00:59.297,STRIP AWAY THEIR FAÇADES.
00:00:59.297,00:01:01.500,"I DID SOME AMATEUR NIGHTS AT
STRIP CLUBS, LIKE, FOR MONEY."
00:01:01.500,00:01:02.968,"AND SHOW ME
THEIR TRUE SELVES."
00:01:02.968,00:01:04.836,"I DID NOT COME
ALL THE WAY"
00:01:04.836,00:01:06.505,"FROM LITTLE BITTY
LITTLE ROCK, ARKANSAS"
00:01:06.505,00:01:07.739,"TO GET TURNED AROUND
AND GO HOME,"
00:01:07.739,00:01:08.807,"THAT'S NOT
AN OPTION."
00:01:08.807,00:01:10.274,"I'M A REAL
LIVE--"
00:01:10.274,00:01:11.743,"I KEEP CHARGING
TILL I GET WHAT I WANT"
00:01:11.743,00:01:13.912,"AND I WANT THIS
RIGHT HERE."
00:01:13.912,00:01:15.280,I'M NOT PLAYING!
00:01:15.280,00:01:16.948,"WE MADE IT!
(screaming)"
00:01:16.948,00:01:18.550,"IN THE END,"
00:01:18.550,00:01:21.219,"I CHOSE 13 GIRLS TO MOVE
INTO THE TOP MODEL HOUSE"
00:01:21.219,00:01:23.922,"AND COMPETE
FOR THEIR ULTIMATE DREAM."
00:01:23.922,00:01:26.191,"NOW ONLY FIVE GIRLS
REMAIN."
00:01:26.191,00:01:27.259,JADE.
00:01:27.259,00:01:27.859,FURONDA.
00:01:27.859,00:01:29.294,JOANIE.
00:01:29.294,00:01:30.495,DANIELLE.
00:01:30.495,00:01:31.329,AND SARA.
00:01:32.397,00:01:34.933,"TONIGHT, SEE HOW
IT ALL WENT DOWN."
00:01:34.933,00:01:38.537,"THIS IS NOT ""AMERICA'S NEXT TOP
BEST FRIEND."""
00:01:38.537,00:01:40.405,"PLUS, NEVER-BEFORE-SEEN
MODEL MOMENTS,"
