Start Time,End Time,Text
00:00:07.846,00:00:10.382,"PREVIOUSLY ON
""AMERICA'S NEXT TOP MODEL""..."
00:00:10.382,00:00:11.817,(screaming)
00:00:11.817,00:00:14.820,"13 FINALISTS MOVED INTO
THEIR NEW HOME IN BEL AIR."
00:00:14.820,00:00:17.089,(screaming)
00:00:17.089,00:00:19.424,"CASSANDRA REVEALED SOME
INTERESTING FACETS"
00:00:19.424,00:00:20.559,OF HER PERSONALITY...
00:00:20.559,00:00:22.226,"YOU KNOW HOW SOCIOPATHS
DON'T FEEL EMOTION,"
00:00:22.226,00:00:23.462,"AND THAT'S WHY
THEY CAN KILL PEOPLE"
00:00:23.462,00:00:25.230,"WITHOUT EVER FEELING
BAD ABOUT IT?"
00:00:25.230,00:00:27.232,"ONLY I NEVER
KILLED ANYBODY."
00:00:27.232,00:00:30.168,"THE GIRLS FLEW HIGH IN
THEIR SUPERHERO PHOTO SHOOT."
00:00:30.168,00:00:31.603,GORGEOUS.
00:00:31.603,00:00:33.138,SARAH.
00:00:33.138,00:00:35.574,"WHEN ASHLEY FAILED TO MAKE
A GOOD IMPRESSION,"
00:00:35.574,00:00:37.442,SHE WAS SENT HOME.
00:00:37.442,00:00:39.144,12 GIRLS REMAIN.
00:00:39.144,00:00:41.546,"WHO WILL BE ELIMINATED
TONIGHT?"
00:00:41.546,00:00:45.450,♪&♪&♪&
00:01:29.161,00:01:31.129,(alarm rings)
00:01:34.633,00:01:37.402,"BEING ALMOST ELIMINATED,
IT WAS SHOCKING."
00:01:37.402,00:01:39.604,"I ACTUALLY AM
JUST REALLY RELIEVED."
00:01:39.604,00:01:42.007,"I'M JUST GONNA HAVE TO GET
BETTER THAN I AM"
00:01:42.007,00:01:44.209,"SINCE WHAT I AM ISN'T
GOOD ENOUGH RIGHT NOW."
00:01:44.209,00:01:45.844,MORNING. WHAT UP?
00:01:50.182,00:01:51.249,"YEAH, IT'S WEIRD."
00:01:51.249,00:01:53.251,"BUT I DIDN'T THINK THAT
SHE WAS GONNA BE IT AT ALL."
00:01:53.251,00:01:56.988,"I AM SO COMPETITIVE, AND
I'M TRYING TO MAKE, LIKE,"
00:01:56.988,00:01:59.257,"SOMETHING
GREAT FOR MYSELF."
00:01:59.257,00:02:02.027,"YOU CAN'T UNDERESTIMATE
FOR ONE SECOND,"
00:02:02.027,00:02:03.895,ONE OF THESE SKEEZERS HERE.
00:02:03.895,00:02:04.930,YOU CAN'T.
00:02:04.930,00:02:08.166,"IF YOU SHOW WEAKNESS,
THEY'RE GONNA POUNCE ON YOU"
00:02:08.166,00:02:10.669,"LIKE A PACK OF HYENAS
TO A CARCASS."
00:02:10.669,00:02:13.071,"- TYRA MAIL.
- TYRA MAIL."
00:02:13.071,00:02:16.374,"""DON'T BITCH AND MOAN
ABOUT THIS HAIRY SITUATION."
00:02:16.374,00:02:17.909,"BE READY AND LEAVE
AT 8:45 A.M."""
00:02:17.909,00:02:19.644,"YOU GUYS KNOW
WHAT THAT MEANS."
00:02:19.644,00:02:21.513,MAKEOVERS.
00:02:21.513,00:02:23.181,"I'M SO CONFIDENT
IN THE WAY I LOOK,"
00:02:23.181,00:02:25.016,"AND I THINK I PRESENT
MYSELF VERY WELL."
00:02:25.016,00:02:26.685,"I HAVE A GREAT NATURAL BEAUTY,"
00:02:26.685,00:02:29.554,"AND I DON'T THINK I REALLY NEED
TO CHANGE MUCH TO ENHANCE THAT."
00:02:34.759,00:02:37.996,"- HEY, HEY, HEY.
- HEY."
00:02:37.996,00:02:39.564,HOW ARE YOU?
00:02:39.564,00:02:40.665,GOOD.
00:02:40.665,00:02:41.967,"ARE YOU ALL READY
TO BITCH AND MOAN"
00:02:41.967,00:02:43.935,"- ABOUT A HAIR SITUATION?
- NO."
00:02:43.935,00:02:46.004,"WELL, OF COURSE, YOU KNOW
WHERE YOU ARE, RIGHT?"
00:02:46.004,00:02:47.873,"YOU'RE IN A HAIR SALON,
BUT NOT JUST ANY HAIR SALON."
00:02:47.873,00:02:49.975,"YOU'RE IN THE LOUIS LICARI
HAIR SALON."
00:02:49.975,00:02:52.043,"THIS IS MR. LOUIS
LICARI HIMSELF."
00:02:52.043,00:02:53.612,HE IS A LEGEND.
00:02:53.612,00:02:55.247,HE IS THE MASTER OF COLOR.
00:02:55.247,00:02:57.449,"HE IS THE COLORIST
TO EVERY STAR,"
00:02:57.449,00:02:58.917,"TONS OF SUPERMODELS,"
00:02:58.917,00:03:01.786,"AND WE HAVE AN IDEA
FOR EVERYBODY."
00:03:01.786,00:03:04.856,"WE'RE GONNA TURN YOU GIRLS
INTO THESE BLING TOP MODELS."
00:03:04.856,00:03:07.659,"I MEAN, LIKE LINDA EVANGELISTA
BECAME A HUGE SUPERMODEL"
00:03:07.659,00:03:10.362,"WHEN SHE CUT
HER HAIR ALL SHORT."
00:03:10.362,00:03:13.098,"ALL RIGHTY, I'M GONNA
START WITH NICOLE."
00:03:13.098,00:03:14.966,"WE'RE GONNA GIVE YOU
HAIR WEAVE AND MAKE YOU"
00:03:14.966,00:03:18.336,"EVEN MORE CURLY AND MORE
FABULOUS AND MORE VOLUME."
00:03:18.336,00:03:19.337,THAT SOUNDS GREAT.
00:03:19.337,00:03:21.740,"CORYN, YOU'RE GONNA
ACTUALLY BE A BLONDE."
00:03:21.740,00:03:23.808,"OH, MY GOD."
00:03:23.808,00:03:26.244,"DIANE, WE ARE GOING
TO GIVE YOU A WHEAT COLOR,"
00:03:26.244,00:03:27.479,LIKE ON A PRAIRIE.
00:03:27.479,00:03:29.047,"- OKAY.
- LET ME SEE LISA."
00:03:29.047,00:03:31.416,"I THINK THAT THE HAIR
SHOULD GIVE MORE CONTRAST"
00:03:31.416,00:03:32.717,TO THE EYE COLOR.
00:03:32.717,00:03:35.086,"IF WE CAN MAKE YOUR HAIR COLOR
RICHER, CHOCOLATEY,"
00:03:35.086,00:03:38.790,"ALL OF A SUDDEN, YOUR BLUE
EYES ARE JUST GOING TO POP."
00:03:38.790,00:03:41.192,"I'M LIKE LINDA EVANGELISTA,
MAN, I'M A CHAMELEON."
00:03:41.192,00:03:43.228,"COME ON. I WANT
SOMETHING REALLY DRASTIC."
00:03:43.228,00:03:45.864,"EBONY, WE THOUGHT AND THOUGHT
AND THEN WE SAID,"
00:03:45.864,00:03:47.933,"SHE NEEDS GLAMOUR,
SHE NEEDS PIZZAZZ,"
00:03:47.933,00:03:49.668,"AND SHE NEEDS TO REPRESENT
HER PEOPLE, GIRL."
00:03:49.668,00:03:52.837,"YOU'RE GONNA HAVE BRAIDS
ALL THE WAY DOWN TO HERE."
00:03:52.837,00:03:54.506,AAH!
00:03:54.506,00:03:56.708,"KYLE, WE'RE GONNA MAKE
YOUR HAIR CHOCOLATEY BROWN."
00:03:56.708,00:03:58.376,OKAY.
00:03:58.376,00:03:59.678,"- JAYLA...
- BRING IT ON."
00:03:59.678,00:04:01.713,"WE WANT TO TAKE YOU FROM
HERE TO HERE, HONEY."
00:04:01.713,00:04:02.948,"- YES!
- KIM."
00:04:02.948,00:04:04.182,"YES, TYRA?"
00:04:04.182,00:04:06.685,"I'M DEFINITELY NOT EXPECTING
TO GET MY HAIR,"
00:04:06.685,00:04:08.954,"LIKE, BUZZED OFF OR
SOMETHING BECAUSE, I MEAN,"
00:04:08.954,00:04:10.655,"YOU CAN'T HAVE A LESBIAN
WITH BUZZED HAIR.
IT'S, LIKE, TOO MUCH."
00:04:10.655,00:04:12.290,"WE LOVE THE LENGTH
OF YOUR HAIR,"
00:04:12.290,00:04:14.793,"BUT YOU HAVE THIS
KIND OF OLIVEY-COLORED SKIN"
00:04:14.793,00:04:16.962,"THAT I THINK WOULD BE
GREAT RED."
00:04:16.962,00:04:19.497,"PEOPLE WHO CHOOSE TO BE RED
CHOOSE TO BE NOTICED,"
00:04:19.497,00:04:21.533,"- SO WATCH OUT.
- HEY!"
00:04:21.533,00:04:22.734,SARAH...
