Start Time,End Time,Text
00:00:07.679,00:00:10.281,"PREVIOUSLY ON
""AMERICA'S NEXT TOP MODEL""..."
00:00:10.281,00:00:13.118,"CASSANDRA CHOSE HER HAIR
OVER THE COMPETITION."
00:00:13.118,00:00:14.252,"SO, YOU'RE NOT READY
TO CUT YOUR HAIR?"
00:00:14.252,00:00:14.853,NO.
00:00:14.853,00:00:17.055,"YOU JUST GOTTA LEAVE MY SET,
OKAY?"
00:00:17.055,00:00:19.458,"I'M GONNA GO BACK TO TEXAS,
GET SOME HAIR EXTENSIONS,"
00:00:19.458,00:00:22.627,"AND HOPEFULLY YOU WILL SEE ME
AS A FUTURE MISS USA."
00:00:22.627,00:00:27.499,"AND WHEN SARAH BECAME
DISTRACTED BY A CRUSH ON KIM,"
00:00:27.499,00:00:29.301,HER PERFORMANCE SUFFERED.
00:00:29.301,00:00:30.869,KEEP YOUR TRAIN BEHIND YOU.
00:00:30.869,00:00:32.971,"YOU'RE NOT STAYING CENTERED.
STAY CENTERED."
00:00:32.971,00:00:34.272,AND SHE WAS SENT HOME.
00:00:34.272,00:00:35.474,"THANKS, SARAH."
00:00:36.908,00:00:38.577,NINE GIRLS REMAIN.
00:00:38.577,00:00:41.213,WHO WILL BE ELIMINATED TONIGHT?
00:00:41.213,00:00:43.315,♪♪♪
00:01:29.060,00:01:31.997,"I JUST WISH IT HADN'T
COME DOWN TO SARAH AND I."
00:01:31.997,00:01:33.632,YEAH.
00:01:33.632,00:01:36.101,"WILL SARAH AND KIM PLEASE
STEP FORWARD?"
00:01:36.101,00:01:38.370,"OF COURSE, I WAS HAPPY
WHEN TYRA CALLED MY NAME."
00:01:38.370,00:01:39.371,I WANTED TO BE CALLED.
00:01:39.371,00:01:41.640,"I WANTED TO BE THE ONE
WHO WOULD CONTINUE ON"
00:01:41.640,00:01:43.275,IN THE COMPETITION.
00:01:43.275,00:01:43.775,KIM.
00:01:43.775,00:01:47.846,"BUT SOMETIMES I THINK
THAT SARAH DESERVED IT MORE."
00:01:47.846,00:01:49.181,GO AHEAD.
00:01:50.649,00:01:51.850,"ALL RIGHT,
LET'S TAKE A PICTURE."
00:01:51.850,00:01:53.151,"LET'S TAKE ONE PICTURE
OF EVERYONE."
00:01:53.151,00:01:54.653,"WE HAVE A CAMERA
IN THE HOUSE NOW"
00:01:54.653,00:01:56.888,"AND ALL OF THE GIRLS
ARE GOING CRAZY."
00:01:56.888,00:01:58.523,"HEY, GIRLS, SMILE."
00:01:59.324,00:02:01.259,"OH, THAT'S CUTE."
00:02:03.495,00:02:07.265,"[OVERLAPPING CHATTER
AND SQUEALING]"
00:02:07.265,00:02:09.868,THESE GUYS ARE CRAZY.
00:02:09.868,00:02:11.436,[OVERLAPPING CHATTER]
