Start Time,End Time,Text
00:00:01.234,00:00:03.270,">> LAST TIME ON ""TOP MODEL""..."
00:00:03.270,00:00:04.337,>> I'M INCREDIBLY SAD
00:00:04.337,00:00:05.805,AND DISAPPOINTED.
00:00:05.805,00:00:06.939,">> WELL, YOU WERE HOPING"
00:00:06.939,00:00:07.908,TO GET A WEAVE?
00:00:07.908,00:00:08.909,">> I WANTED LONG,"
00:00:08.909,00:00:09.709,WAIST-LENGTH HAIR.
00:00:09.709,00:00:10.677,>> I AM REALIZING THAT THIS IS
00:00:10.677,00:00:15.115,KIND OF LOOKING A LITTLE WEIRD.
00:00:15.115,00:00:16.248,(camera shutter clicks)
00:00:16.248,00:00:17.217,>> THAT'S NICE.
00:00:17.217,00:00:18.218,>> I KIND OF STOOD
00:00:18.218,00:00:19.152,IN FRONT OF HER.
00:00:19.152,00:00:20.186,"I KNOW WHAT I WANT,"
00:00:20.186,00:00:20.987,SO BETTER KEEP UP.
00:00:20.987,00:00:22.055,">> HEY, SARA, STOP ANALYZING."
00:00:22.055,00:00:23.123,I CAN SEE IT IN YOUR FACE.
00:00:23.123,00:00:24.257,">> COME ON, DOMINIQUE,"
00:00:24.257,00:00:25.091,GET IN THERE.
00:00:25.091,00:00:26.126,>> WHAT ARE YOU THINKING
00:00:26.126,00:00:27.060,"IN YOUR HEAD, THOUGH?"
00:00:27.060,00:00:28.295,">> HONESTLY, I DON'T HAVE"
00:00:28.295,00:00:29.062,NO THOUGHTS.
00:00:29.062,00:00:30.230,>> BUT THAT'S THE PROBLEM.
00:00:30.230,00:00:31.164,>> SO WHO STAYS
00:00:31.164,00:00:32.399,IN THIS COMPETITION?
00:00:32.399,00:00:33.033,SARA.
00:00:33.033,00:00:35.735,DOMINIQUE WAS SENT HOME.
00:00:35.735,00:00:37.904,"TEN GIRLS REMAIN,"
00:00:37.904,00:00:38.838,ALL VYING FOR A CHANCE
00:00:38.838,00:00:39.739,"TO BE IN ITALIAN ""VOGUE."""
