Start Time,End Time,Text
00:00:01.468,00:00:02.469,>> HERE'S WHAT HAPPENED
00:00:02.469,00:00:04.671,"ON ""TOP MODEL"" LAST WEEK..."
00:00:04.671,00:00:05.539,>> THE WINNER--
00:00:05.539,00:00:06.939,"ALEXANDRIA, IT'S YOURS."
00:00:06.939,00:00:08.575,>> I REALLY THINK THAT NIGEL
00:00:08.575,00:00:10.243,MADE THE WRONG DECISION.
00:00:10.243,00:00:10.877,YOU PICKED
00:00:10.877,00:00:12.312,THE UGLIEST (bleep) PERSON HERE.
00:00:12.312,00:00:13.780,>> I CAN HEAR YOU.
00:00:13.780,00:00:14.814,(camera shutter clicks)
00:00:14.814,00:00:15.682,>> YOU ACTUALLY KINDA
00:00:15.682,00:00:17.918,GIVE ME CRAZY QUITE NATURALLY.
00:00:17.918,00:00:19.085,I FEEL LIKE YOU'RE JUST LOOKING
00:00:19.085,00:00:20.220,"AND GOING, ""I DON'T KNOW"
00:00:20.220,00:00:21.087,"WHAT TO GO FOR."""
00:00:21.087,00:00:22.255,>> BECAUSE THERE'S JUST
00:00:22.255,00:00:23.056,SO MUCH STUFF.
00:00:23.056,00:00:24.057,>> THERE WAS THIS SORT OF
00:00:24.057,00:00:25.058,EXTRAORDINARY PERFORMANCE
00:00:25.058,00:00:26.159,BETWEEN YOU AND BRITTANI.
00:00:26.159,00:00:27.127,>> YOU REALLY CHOSE
00:00:27.127,00:00:28.261,THE WRONG SPOKESPERSON
00:00:28.261,00:00:29.162,BECAUSE WE SEE
00:00:29.162,00:00:30.130,THE TRUE ALEXANDRIA.
00:00:30.130,00:00:31.064,>> YOU HAVE TO RESPECT
00:00:31.064,00:00:32.198,THE CLIENT AND YOU HAVE TO
00:00:32.198,00:00:32.999,RESPECT YOURSELF.
00:00:32.999,00:00:33.967,>> I'M HAVING A PANIC ATTACK.
00:00:33.967,00:00:35.168,I CAN'T REALLY... (gasps) TALK.
00:00:35.168,00:00:36.903,>> I WAS OUTVOTED.
00:00:36.903,00:00:38.138,BRITTANI.
00:00:38.138,00:00:40.140,MIKAELA WAS ELIMINATED.
