Start Time,End Time,Text
00:00:01.734,00:00:02.969,♪♪♪♪♪
00:00:02.969,00:00:03.770,>> CYCLE 16 OF
00:00:03.770,00:00:04.971,"""AMERICA'S NEXT TOP MODEL"""
00:00:04.971,00:00:07.374,IS MORE THAN HALFWAY OVER.
00:00:07.374,00:00:08.141,"NEXT WEEK,"
00:00:08.141,00:00:09.242,THE REMAINING FIVE GIRLS
00:00:09.242,00:00:10.544,"ARRIVE IN MOROCCO,"
00:00:10.544,00:00:12.012,"AND SOON, ONE LUCKY GIRL"
00:00:12.012,00:00:13.547,WILL HAVE HER CAREER LAUNCHED
00:00:13.547,00:00:14.748,"IN ITALIAN ""VOGUE,"""
00:00:14.748,00:00:16.049,"AND NOT JUST WITH ONE,"
00:00:16.049,00:00:17.584,BUT TWO FASHION SPREADS
00:00:17.584,00:00:18.451,AND THE COVER
00:00:18.451,00:00:20.287,"OF ""BEAUTY IN VOGUE."""
00:00:20.287,00:00:21.187,AND DID I MENTION
00:00:21.187,00:00:22.255,THAT SHE'LL ALSO RECEIVE
00:00:22.255,00:00:24.858,"A $100,000 CONTRACT"
00:00:24.858,00:00:27.093,WITH COVERGIRL?
00:00:27.093,00:00:28.295,YOU'RE HOME!
00:00:28.295,00:00:29.229,>> (screaming)
00:00:29.229,00:00:30.530,>> BEGINNING WITH A HUGE TWIST
00:00:30.530,00:00:31.631,WHEN THE GIRLS SHOWED UP
00:00:31.631,00:00:32.631,"FOR CASTING WEEK,"
00:00:32.631,00:00:33.633,"SO FAR, IT'S BEEN"
00:00:33.633,00:00:35.135,ONE DRAMATIC CYCLE
00:00:35.135,00:00:36.836,"OF ""A.N.T.M."""
00:00:36.836,00:00:37.504,>> (gasps)
00:00:37.504,00:00:38.638,>> DON'T TALK TO ME LIKE THAT.
00:00:38.638,00:00:39.806,>> HOW YOU TALK TO ME
00:00:39.806,00:00:40.574,IS ANNOYING.
00:00:40.574,00:00:41.641,>> AND I DON'T GIVE A DAMN
00:00:41.641,00:00:42.909,WHAT YOU THINK OF ME.
00:00:42.909,00:00:44.444,">> BUT IF YOU MISSED ANYTHING,"
00:00:44.444,00:00:45.445,"YOU'RE IN LUCK,"
00:00:45.445,00:00:46.246,"BECAUSE TONIGHT,"
00:00:46.246,00:00:47.247,WE'RE GONNA CATCH YOU UP ON
00:00:47.247,00:00:49.449,ALL THE FIERCE FASHION EVENTS
00:00:49.449,00:00:50.584,AND ALL THAT OTHER FREAKY STUFF
00:00:50.584,00:00:52.152,THAT YOU DID NOT GET TO SEE
00:00:52.152,00:00:53.086,ALONG THE WAY...
00:00:53.086,00:00:55.255,IS SOMETHING HAPPENING?
00:00:55.255,00:00:56.790,>> I NEED MY MOM.
00:00:56.790,00:01:00.660,">> (cries) ENOUGH. OH, (bleep)."
00:01:00.660,00:01:01.595,>> AND WE'LL CHECK IN
00:01:01.595,00:01:04.030,"ON CYCLE 15's WINNER, ANN."
00:01:04.030,00:01:05.065,"SO DON'T GO AWAY, Y'ALL."
00:01:05.065,00:01:07.500,THE CYCLE 16 MID-SEASON RECAP
00:01:07.500,00:01:10.704,BEGINS NOW.
00:01:10.704,00:01:13.807,♪♪♪♪♪
00:01:13.807,00:01:14.574,>> WANNA BE ON TOP?
00:01:14.574,00:01:15.942,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:15.942,00:01:16.810,♪ ON TOP ♪
00:01:16.810,00:01:17.944,♪ ALL THE LADIES ♪
00:01:17.944,00:01:18.645,>> WANNA BE ON TOP?
00:01:18.645,00:01:20.780,">> ♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:20.780,00:01:22.082,♪ ALL THE LADIES ♪
00:01:22.082,00:01:23.149,>> YOU WANNA BE ON TOP?
00:01:23.149,00:01:24.651,♪ IT'S TIME TO MAKE IT HOT ♪
00:01:24.651,00:01:25.652,♪ GET IT UP ♪
00:01:25.652,00:01:26.486,♪ YOU KNOW ♪
00:01:26.486,00:01:27.320,♪ THAT WE DON'T STOP ♪
00:01:27.320,00:01:28.955,"♪ NA, AND WHEN YOU GET IT HOT ♪"
00:01:28.955,00:01:31.157,"♪ NA, YOU GOTTA BE ON TOP ♪"
00:01:31.157,00:01:32.125,♪ NA NA NA NA-NA NA ♪
00:01:32.125,00:01:33.226,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:33.226,00:01:35.295,♪ NA NA NA NA-NA NA ♪
00:01:35.295,00:01:36.229,♪ ALL THE LADIES ♪
00:01:36.229,00:01:37.430,♪ NA NA NA NA-NA NA ♪
00:01:37.430,00:01:38.231,WANNA BE ON TOP?
00:01:38.231,00:01:39.599,♪ NA NA NA NA-NA NA ♪
00:01:39.599,00:01:40.233,WHOO!
00:01:40.233,00:01:42.269,♪ NA NA NA NA-NA NA ♪
00:01:42.269,00:01:43.203,♪ NA NA NA NA-NA ♪
00:01:43.203,00:01:44.337,"♪ ALL, ALL, ALL, ALL ♪"
00:01:44.337,00:01:48.475,>> WANNA BE ON TOP?
00:01:48.475,00:01:50.744,(static hisses)
00:01:53.413,00:01:54.447,">> THIS CYCLE, WE DID AWAY"
00:01:54.447,00:01:55.715,WITH THAT SAME OLD CASTING WEEK
00:01:55.715,00:01:56.550,IN ORDER TO GET
00:01:56.550,00:01:57.784,RIGHT INTO THE COMPETITION
00:01:57.784,00:01:59.019,ON DAY ONE.
00:01:59.019,00:02:00.220,AND IN CASE YOU MISSED
00:02:00.220,00:02:01.154,"THOSE PANELS,"
00:02:01.154,00:02:01.955,HERE'S A LOOK BACK
00:02:01.955,00:02:03.156,ON SOME VERY INTERESTING GIRLS
00:02:03.156,00:02:05.492,THAT DID NOT MAKE THE CUT.
00:02:05.492,00:02:06.760,(squeals)
00:02:06.760,00:02:07.961,MY FAVORITE DESIGNER
00:02:07.961,00:02:09.429,IS HELLO KITTY.
00:02:09.429,00:02:09.996,WHOO!
00:02:09.996,00:02:11.932,"I CAN SMIZE, LIKE, WITH MY EYES."
00:02:11.932,00:02:13.366,I'M DOING IT.
00:02:13.366,00:02:15.835,MY NAME IS ANGORA NYLANDRA
00:02:15.835,00:02:17.304,TAFATIA MICHAELS.
00:02:17.304,00:02:18.872,I'M NOT HERE TO MAKE FRIENDS.
00:02:18.872,00:02:19.573,WHAT DO I HAVE
00:02:19.573,00:02:21.741,THAT THE OTHER GIRLS DON'T HAVE?
00:02:21.741,00:02:22.676,HELLO?
