Start Time,End Time,Text
00:00:01.234,00:00:02.302,>> HERE'S WHAT HAPPENED ON
00:00:02.302,00:00:03.537,"""AMERICA'S NEXT TOP MODEL"""
00:00:03.537,00:00:04.337,LAST WEEK...
00:00:04.337,00:00:05.505,>> LET'S BRING OUT THE FANS.
00:00:05.505,00:00:06.640,>> HI. I'M KASIA.
00:00:06.640,00:00:07.541,>> JASON.
00:00:07.541,00:00:08.408,>> MONIQUE SAID
00:00:08.408,00:00:09.676,THAT YOU WOULD KISS ME.
00:00:09.676,00:00:10.310,>> OKAY.
00:00:10.310,00:00:11.344,>> WHOA. YOU BETTER WATCH IT.
00:00:11.344,00:00:12.412,">> ALEXANDRIA, YOU SHOULD'VE"
00:00:12.412,00:00:13.480,NEVER KISSED THE CHEEK.
00:00:13.480,00:00:14.814,>> WHAT HAPPENS WHEN
00:00:14.814,00:00:16.216,SOMEONE ELSE TELLS THAT PERSON
00:00:16.216,00:00:17.918,THAT I WOULD DO THAT?
00:00:17.918,00:00:18.785,>> THAT'S IT.
00:00:18.785,00:00:20.554,>> BEAUTIFUL. LOVE THIS.
00:00:20.554,00:00:21.521,>> IS THERE ANY WAY
00:00:21.521,00:00:22.455,YOU CAN MOVE YOUR ARM?
00:00:22.455,00:00:23.490,">> OH, YOU'RE DROPPING..."
00:00:23.490,00:00:24.558,>> PLEASE LEAVE HER ARM
00:00:24.558,00:00:25.458,THE WAY THAT IT IS.
00:00:25.458,00:00:26.359,I PUT IT THERE ON PURPOSE.
00:00:26.359,00:00:27.494,"CHIN UP A BIT, MONIQUE, THOUGH."
00:00:27.494,00:00:28.428,DON'T BRING IT BACK IN.
00:00:28.428,00:00:29.563,>> MONIQUE--IF YOU TOOK HER
00:00:29.563,00:00:30.397,"OUT OF THIS PICTURE,"
00:00:30.397,00:00:31.598,THE PICTURE'S JUST AS STRONG.
00:00:31.598,00:00:33.099,THAT'S A PROBLEM.
00:00:33.099,00:00:35.468,>> MONIQUE WAS SENT HOME.
00:00:35.468,00:00:37.103,"SEVEN GIRLS REMAIN,"
00:00:37.103,00:00:38.071,BUT ONLY ONE WILL HAVE
00:00:38.071,00:00:40.473,"CONTRACTS WITH IMG, COVERGIRL,"
00:00:40.473,00:00:41.608,AND APPEAR ON THE PAGES
00:00:41.608,00:00:42.976,"OF ITALIAN ""VOGUE."""
00:00:42.976,00:00:43.777,WHO DO YOU THINK
00:00:43.777,00:00:46.413,WILL BE ELIMINATED TONIGHT?
00:00:46.413,00:00:49.516,♪♪♪♪♪
00:00:49.516,00:00:50.283,>> WANNA BE ON TOP?
00:00:50.283,00:00:51.585,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:00:51.585,00:00:52.452,♪ ON TOP ♪
00:00:52.452,00:00:53.587,♪ ALL THE LADIES ♪
00:00:53.587,00:00:54.287,>> WANNA BE ON TOP?
00:00:54.287,00:00:56.423,">> ♪ ALL, ALL, ALL, ALL, ALL ♪"
00:00:56.423,00:00:57.724,♪ ALL THE LADIES ♪
00:00:57.724,00:00:58.792,>> YOU WANNA BE ON TOP?
00:00:58.792,00:01:00.360,♪ IT'S TIME TO MAKE IT HOT ♪
00:01:00.360,00:01:01.394,♪ GET IT UP ♪
00:01:01.394,00:01:02.295,♪ YOU KNOW ♪
00:01:02.295,00:01:03.129,♪ THAT WE DON'T STOP ♪
00:01:03.129,00:01:04.763,"♪ NA, AND WHEN YOU GET IT HOT ♪"
00:01:04.763,00:01:06.967,"♪ NA, YOU GOTTA BE ON TOP ♪"
00:01:06.967,00:01:07.901,♪ NA NA NA NA-NA NA ♪
00:01:07.901,00:01:09.002,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:09.002,00:01:11.071,♪ NA NA NA NA-NA NA ♪
00:01:11.071,00:01:12.005,♪ ALL THE LADIES ♪
00:01:12.005,00:01:13.206,♪ NA NA NA NA-NA NA ♪
00:01:13.206,00:01:14.007,WANNA BE ON TOP?
00:01:14.007,00:01:15.375,♪ NA NA NA NA-NA NA ♪
00:01:15.375,00:01:16.009,WHOO!
00:01:16.009,00:01:18.078,♪ NA NA NA NA-NA NA ♪
00:01:18.078,00:01:19.012,♪ NA NA NA NA-NA ♪
00:01:19.012,00:01:20.146,"♪ ALL, ALL, ALL, ALL ♪"
00:01:20.146,00:01:24.251,>> WANNA BE ON TOP?
00:01:24.251,00:01:26.553,(static hisses)
00:01:29.522,00:01:33.760,♪♪♪♪♪
00:01:37.898,00:01:38.598,>> YEAH.
00:01:38.598,00:01:39.699,>> I WAS REALLY JUST SICK
00:01:39.699,00:01:40.734,OF GETTING RUNNER-UP
00:01:40.734,00:01:41.501,AND TRYING SO HARD
00:01:41.501,00:01:43.436,"AND JUST STOP BEING RUNNER-UP,"
00:01:43.436,00:01:45.739,"AND I DID IT, SO..."
00:01:45.739,00:01:46.673,>> BRITTANI.
00:01:46.673,00:01:48.241,>> I FINALLY GOT BEST PHOTO
00:01:48.241,00:01:49.175,THIS WEEK.
00:01:49.175,00:01:49.943,>> FIRST TIME
00:01:49.943,00:01:51.378,THAT YOU'RE CALLED FIRST.
00:01:51.378,00:01:52.879,">> AND I'M REALLY, REALLY HAPPY"
00:01:52.879,00:01:53.680,"AND EXCITED,"
00:01:53.680,00:01:55.015,BUT I REALLY WAS SHOCKED
00:01:55.015,00:01:55.849,WHEN ALEXANDRIA
00:01:55.849,00:01:57.551,WAS NOT IN THE BOTTOM TWO.
00:01:57.551,00:01:58.552,ALEXANDRIA SHOULD HAVE
00:01:58.552,00:01:59.386,WENT HOME AT PANEL.
00:01:59.386,00:02:00.754,THERE'S NOT WORDS FOR HOW MUCH
00:02:00.754,00:02:02.255,I JUST DON'T LIKE THIS GIRL.
00:02:02.255,00:02:03.323,SHE'S COMPLETELY RUDE
00:02:03.323,00:02:04.991,AND DISRESPECTFUL.
00:02:04.991,00:02:06.793,SO IT'S JUST A MATTER OF TIME
00:02:06.793,00:02:08.127,"BEFORE THE TRUE COLORS SHOW OUT,"
00:02:08.127,00:02:09.596,"AND THEY'RE LIKE, NO."
00:02:09.596,00:02:10.530,>> I WAS NOT EXPECTING TO BE
00:02:10.530,00:02:12.265,IN THE BOTTOM TWO WITH MONIQUE.
00:02:12.265,00:02:13.767,"I JUST--I'M JUST TIRED OF, LIKE,"
00:02:13.767,00:02:14.634,"SHOWING UP AT PANEL,"
00:02:14.634,00:02:15.735,"I KNOW I'M DOING MY BEST,"
00:02:15.735,00:02:16.536,AND THEN I GET THIS
00:02:16.536,00:02:18.305,"RIDICULOUS PHOTOS THAT, LIKE..."
00:02:18.305,00:02:19.406,>> ARE DIFFERENT.
00:02:19.406,00:02:20.140,>> WHATEVER.
00:02:20.140,00:02:21.208,MONIQUE AND I DID NOT EXPECT
00:02:21.208,00:02:22.275,"TO BE IN THE BOTTOM TWO,"
00:02:22.275,00:02:23.276,SO IT WAS DEFINITELY
00:02:23.276,00:02:24.377,A SURPRISE TO ME.
00:02:24.377,00:02:25.111,>> MIKAELA.
00:02:25.111,00:02:26.346,">> I'M A LITTLE PISSED OFF,"
00:02:26.346,00:02:27.247,TO BE HONEST.
00:02:27.247,00:02:28.315,I HAVE BEEN MODELING
00:02:28.315,00:02:29.282,SINCE I WAS 15.
00:02:29.282,00:02:30.317,I DO THINK I HAVE
00:02:30.317,00:02:31.084,MORE EXPERIENCE
00:02:31.084,00:02:32.185,"THAN A LOT OF THE GIRLS HERE,"
00:02:32.185,00:02:33.253,"BUT AT THE SAME TIME,"
00:02:33.253,00:02:34.087,I'M GOING TO PANEL
00:02:34.087,00:02:35.255,AND I DON'T SEE GREAT SHOTS.
00:02:35.255,00:02:36.489,IT'S FRUSTRATING.
00:02:36.489,00:02:41.161,♪♪♪♪♪
00:02:41.161,00:02:42.729,>> BRITTANI!
00:02:42.729,00:02:44.631,LOOK AT YOUR PICTURE!
00:02:44.631,00:02:45.498,>> HEY.
00:02:45.498,00:02:46.366,>> WHAT IS THIS?
00:02:46.366,00:02:47.834,>> WHAT IS ALL OF THAT?
00:02:47.834,00:02:49.970,>> OH! NEW LITTLE THINGS!
00:02:49.970,00:02:50.971,>> YEAH.
00:02:50.971,00:02:51.905,>> OOH!
00:02:51.905,00:02:52.606,>> TAKE ONE?
00:02:52.606,00:02:53.974,">> SO WE GET HOME FROM PANEL,"
00:02:53.974,00:02:54.741,AND WE SEE
00:02:54.741,00:02:55.709,THESE CUTE LITTLE RED BAGS
00:02:55.709,00:02:56.610,ALL LINED UP WITH SYMBOLS.
00:02:56.610,00:02:57.711,EVERYONE'S TRYING TO FIGURE OUT
00:02:57.711,00:02:59.446,WHAT WE'RE GONNA BE DOING.
00:02:59.446,00:03:00.647,WHO THE HECK KNOWS?
00:03:00.647,00:03:01.715,">> ""WARRIORS IN PINK."
00:03:01.715,00:03:02.649,"POWERED BY FORD."""
00:03:02.649,00:03:03.617,>> WOW. THIS IS NICE!
00:03:03.617,00:03:04.851,>> I CAN'T BELIEVE THIS.
00:03:04.851,00:03:05.819,>> EVERYTHING IN HERE
00:03:05.819,00:03:07.754,WENT TOWARDS BREAST CANCER.
00:03:07.754,00:03:08.788,">> OH, MY GOD. THAT IS..."
00:03:08.788,00:03:09.856,">> WE ALL GRABBED BAGS,"
00:03:09.856,00:03:10.991,"AND WE LOOK IN THEM,"
00:03:10.991,00:03:11.691,AND IT'S ALL
00:03:11.691,00:03:12.659,"THE WARRIORS IN PINK CLOTHING,"
00:03:12.659,00:03:14.027,WHICH IS FOR THE SUSAN G. KOMEN
00:03:14.027,00:03:14.861,RACE FOR THE CURE
00:03:14.861,00:03:16.296,FOR BREAST CANCER AWARENESS.
00:03:16.296,00:03:17.030,>> I'VE HAD
00:03:17.030,00:03:18.298,TWO REALLY CLOSE FRIENDS...
00:03:18.298,00:03:19.165,">> OH, MY GOODNESS."
00:03:19.165,00:03:20.100,">> GO THROUGH BREAST CANCER,"
00:03:20.100,00:03:21.268,"AND, UH, THE ONE'S GOING THROUGH"
00:03:21.268,00:03:22.369,"RADIATION RIGHT NOW,"
00:03:22.369,00:03:23.103,AND THE ONE...
00:03:23.103,00:03:24.070,I DO KNOW TWO WOMEN BACK HOME
00:03:24.070,00:03:25.605,"THAT HAVE FOUGHT BREAST CANCER,"
00:03:25.605,00:03:26.673,SO I WAS REALLY EXCITED.
00:03:26.673,00:03:27.607,"I'M LIKE, OH, COOL."
00:03:27.607,00:03:28.508,WE'RE GONNA DO SOMETHING
00:03:28.508,00:03:32.746,"FOR A CAUSE, WHICH IS AWESOME."
00:03:35.015,00:03:36.249,>> I DON'T WANT TO GO IN THERE.
00:03:36.249,00:03:37.183,I DON'T EVEN WANT
00:03:37.183,00:03:38.118,TO SEE HER RIGHT NOW.
00:03:38.118,00:03:39.319,I DON'T EVEN WANNA LOOK
00:03:39.319,00:03:39.986,AT HER FACE.
00:03:39.986,00:03:40.987,ALEXANDRIA--DEFINITELY UP THERE
00:03:40.987,00:03:43.323,IN MY TOP MOST ANNOYING BITCHES
00:03:43.323,00:03:44.024,EVER.
00:03:44.024,00:03:45.926,>> CROSS IT OVER AND STEP AGAIN.
00:03:45.926,00:03:46.860,NOW DO IT ONE MORE TIME.
00:03:46.860,00:03:48.628,"UM, THE THING WITH RAW CHICKEN"
00:03:48.628,00:03:50.430,"IS, UM, YOU HAVE TO WRAP IT."
00:03:50.430,00:03:51.331,I KNOW THAT.
00:03:51.331,00:03:53.700,>> DOES IT HURT? LET ME SEE.
00:03:53.700,00:03:54.701,>> NO. I DON'T EVEN WANNA
00:03:54.701,00:03:56.303,THINK ABOUT MY LIP RIGHT NOW.
00:03:56.303,00:03:57.003,"OH, MY GOD."
00:03:57.003,00:03:58.838,THERE WAS A TOWEL RIGHT HERE.
00:03:58.838,00:03:59.739,WHO PICKED IT UP?
00:03:59.739,00:04:00.707,>> WE DON'T REALLY NEED
00:04:00.707,00:04:01.741,TO TALK ABOUT THE FRUSTRATION
00:04:01.741,00:04:02.909,AND THE PROBLEMS RIGHT NOW.
00:04:02.909,00:04:03.877,WE NEED TO FOCUS
00:04:03.877,00:04:04.911,ON THE COMMERCIAL.
00:04:04.911,00:04:05.845,">> NO, BECAUSE--"
00:04:05.845,00:04:06.713,BUT I'M THE TALENT.
00:04:06.713,00:04:07.714,>> DRIVES ME NUTS WITH EVERY
00:04:07.714,00:04:08.682,SINGLE THING THAT SHE DOES.
00:04:08.682,00:04:09.683,I AM SO SICK AND TIRED OF IT.
00:04:09.683,00:04:10.717,"I'M READY FOR HER TO GO HOME,"
00:04:10.717,00:04:15.422,AND THEN WE'LL ALL BE OKAY.
00:04:18.091,00:04:19.059,>> PEOPLE OBVIOUSLY
00:04:19.059,00:04:20.260,"WANTED ME TO GO HOME,"
00:04:20.260,00:04:22.729,AND I'M FEELING ATTACKED.
00:04:22.729,00:04:24.231,I'M NOT GONNA LET IT AFFECT ME.
00:04:24.231,00:04:25.799,I'M JUST GETTING WARMED UP.
00:04:25.799,00:04:28.168,AND THE MORE THAT THESE GIRLS
00:04:28.168,00:04:29.803,"HAVE TO SAY NEGATIVELY,"
00:04:29.803,00:04:30.904,IT'S JUST GONNA BE MORE FUEL
00:04:30.904,00:04:34.608,"FOR MY FIRE, BITCHES."
00:04:39.813,00:04:41.481,>> AAH!
00:04:41.481,00:04:43.116,>> NIGEL!
00:04:43.116,00:04:44.317,">> HI, LADIES."
00:04:44.317,00:04:44.851,>> HI.
00:04:44.851,00:04:46.987,>> WELCOME TO SMASHBOX STUDIOS.
00:04:46.987,00:04:48.255,I'M SURE YOU'VE ALL FIGURED OUT
00:04:48.255,00:04:49.022,BY NOW THAT TODAY
00:04:49.022,00:04:50.824,YOU'RE GONNA BE DOING YOUR PART
00:04:50.824,00:04:51.958,FOR THE FIGHT AGAINST
00:04:51.958,00:04:53.026,BREAST CANCER.
00:04:53.026,00:04:55.362,"WELL, FOR THE PAST 17 YEARS,"
00:04:55.362,00:04:56.296,FORD MOTOR COMPANY
00:04:56.296,00:04:57.197,HAS BEEN WORKING WITH
00:04:57.197,00:04:59.666,"SUSAN G. KOMEN FOR THE CURE,"
00:04:59.666,00:05:00.634,AND THEY'VE CREATED
00:05:00.634,00:05:02.269,THE FORD WARRIORS IN PINK
00:05:02.269,00:05:03.236,CAMPAIGN.
00:05:03.236,00:05:04.971,FORD HAS ALREADY DEDICATED
00:05:04.971,00:05:06.640,$110 MILLION
00:05:06.640,00:05:08.575,TO THE BREAST CANCER CAUSE.
00:05:08.575,00:05:10.043,THE APPAREL YOU'RE WEARING IS
00:05:10.043,00:05:12.345,"AVAILABLE AT fordcares.com,"
00:05:12.345,00:05:15.215,AND 100% OF THE NET PROCEEDS
00:05:15.215,00:05:16.683,GO TO THE CAUSE.
00:05:16.683,00:05:17.450,NOW THE FORD
00:05:17.450,00:05:19.019,WARRIORS IN PINK CAMPAIGN
00:05:19.019,00:05:20.520,IS DESIGNED TO RECOGNIZE
00:05:20.520,00:05:21.655,THE STRENGTH AND COURAGE
00:05:21.655,00:05:22.923,IT TAKES TO DEAL
00:05:22.923,00:05:24.824,WITH THE EVERYDAY CHALLENGES
00:05:24.824,00:05:27.093,OF FIGHTING BREAST CANCER.
00:05:27.093,00:05:27.928,THE SYMBOLS EMBODY
00:05:27.928,00:05:29.663,THE STRENGTH AND THE SPIRIT
00:05:29.663,00:05:31.932,"OF WARRIORS WHO LIVE, BREATHE,"
00:05:31.932,00:05:34.467,AND FIGHT AGAINST THIS DISEASE.
00:05:34.467,00:05:35.468,YOU'VE ALL CHOSEN
00:05:35.468,00:05:36.369,"A SYMBOL ALREADY,"
00:05:36.369,00:05:37.337,AND YOU'LL BE EMBODYING
00:05:37.337,00:05:38.371,THE MEANING OF THAT SYMBOL
00:05:38.371,00:05:40.407,IN A PHOTO SHOOT CHALLENGE
00:05:40.407,00:05:41.241,WITH ME.
00:05:41.241,00:05:42.175,YOU'RE GONNA HAVE TO PICK OUT
00:05:42.175,00:05:44.044,"YOUR OWN HAIR, YOUR OWN MAKEUP,"
00:05:44.044,00:05:45.111,YOUR OWN STYLING.
00:05:45.111,00:05:47.981,THE GIRL WHO DOES THE BEST JOB
00:05:47.981,00:05:48.848,IS GOING TO APPEAR
00:05:48.848,00:05:50.750,IN A FORD WARRIORS IN PINK
00:05:50.750,00:05:51.384,PRINT AD
00:05:51.384,00:05:53.620,THAT'S GONNA BE NATIONWIDE.
00:05:53.620,00:05:55.288,THIS IS YOUR OPPORTUNITY
00:05:55.288,00:05:57.090,TO BE A TRUE ROLE MODEL.
00:05:57.090,00:05:58.058,">> OH, I WANT TO WIN"
00:05:58.058,00:05:59.159,THE CHALLENGE SO BAD.
00:05:59.159,00:06:00.193,"YOU KNOW, JUST THE CHANCE"
00:06:00.193,00:06:01.895,TO REALLY BE A ROLE MODEL--
00:06:01.895,00:06:03.029,IT'S A HUGE DEAL.
00:06:03.029,00:06:06.700,>> LET'S GO TO HAIR AND MAKEUP.
00:06:10.837,00:06:11.905,">> FOR SAFETY, LET'S MAYBE"
00:06:11.905,00:06:13.039,JUST DO THE STRONG EYE
00:06:13.039,00:06:14.140,AND THE LIP...
00:06:14.140,00:06:14.708,>> YEAH.
00:06:14.708,00:06:16.109,AND THEN LATER ON WE CAN SMEAR.
00:06:16.109,00:06:17.110,>> YEAH.
00:06:17.110,00:06:17.744,I PICKED
00:06:17.744,00:06:18.912,"THE WARRIOR OF COURAGE SYMBOL,"
00:06:18.912,00:06:19.946,AND I'M GONNA THINK
00:06:19.946,00:06:20.780,JUST ABOUT MY AUNT
