Start Time,End Time,Text
00:00:01.234,00:00:02.469,">> LAST TIME ON ""TOP MODEL""..."
00:00:02.469,00:00:03.870,>> THAT VIDEO WILL BE POSTED
00:00:03.870,00:00:05.471,ON covergirl.com.
00:00:05.471,00:00:06.306,>> AND ACTION.
00:00:06.306,00:00:07.674,>> I LOVE STARTING OUT--
00:00:07.674,00:00:08.808,WAIT. (groans)
00:00:08.808,00:00:09.910,>> IT DOESN'T MATTER.
00:00:09.910,00:00:10.911,">> YES, IT DOES."
00:00:10.911,00:00:11.678,>> YOU'RE FINE.
00:00:11.678,00:00:12.712,THIS BITCH--I CAN'T STAND HER
00:00:12.712,00:00:14.180,BECAUSE I REALLY WANNA WIN.
00:00:14.180,00:00:15.015,>> LOOKS LIKE TEAM 1
00:00:15.015,00:00:16.616,AND BRITTANI WORKED THAT OUT.
00:00:16.616,00:00:17.717,>> AAH!
00:00:17.717,00:00:18.585,>> JUST SEND THE GIRL
00:00:18.585,00:00:19.853,WITH THE BAD ATTITUDE HOME.
00:00:19.853,00:00:20.620,I DON'T CARE
00:00:20.620,00:00:21.621,HOW GOOD HER PICTURES ARE.
00:00:21.621,00:00:22.622,NO ONE IN THE INDUSTRY IS
00:00:22.622,00:00:23.857,GONNA WANNA WORK WITH HER.
00:00:23.857,00:00:24.724,>> (growls)
00:00:24.724,00:00:26.359,>> THAT'S GORGEOUS.
00:00:26.359,00:00:28.929,">> I WAS, LIKE, THE MAMA JAGUAR,"
00:00:28.929,00:00:30.664,AND MURATO WAS MY BABY.
00:00:30.664,00:00:34.167,>> THE SHOTS ARE AMAZING.
00:00:34.167,00:00:35.268,"IT WAS JUST A STRUGGLE,"
00:00:35.268,00:00:36.203,I'M NOT GONNA LIE.
00:00:36.203,00:00:38.104,>> THIS ISN'T FASHION.
00:00:38.104,00:00:39.039,"I MEAN, SHE'S JUST"
00:00:39.039,00:00:39.873,NOT TAKING ANY RISKS.
00:00:39.873,00:00:42.609,>> AND DALYA WAS ELIMINATED.
00:00:42.609,00:00:43.877,"EIGHT GIRLS ARE LEFT,"
00:00:43.877,00:00:44.778,BUT ONLY ONE WILL HAVE
00:00:44.778,00:00:47.280,"CONTRACTS WITH IMG, COVERGIRL,"
00:00:47.280,00:00:48.348,AND APPEAR ON THE PAGES
00:00:48.348,00:00:49.616,"OF ITALIAN ""VOGUE."""
00:00:49.616,00:00:50.417,WHO DO YOU THINK
00:00:50.417,00:00:53.653,WILL BE ELIMINATED TONIGHT?
00:00:53.653,00:00:56.756,♪♪♪♪♪
00:00:56.756,00:00:57.524,>> WANNA BE ON TOP?
00:00:57.524,00:00:58.892,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:00:58.892,00:00:59.759,♪ ON TOP ♪
00:00:59.759,00:01:00.961,♪ ALL THE LADIES ♪
00:01:00.961,00:01:01.728,>> WANNA BE ON TOP?
00:01:01.728,00:01:03.863,">> ♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:03.863,00:01:05.165,♪ ALL THE LADIES ♪
00:01:05.165,00:01:06.233,>> YOU WANNA BE ON TOP?
00:01:06.233,00:01:07.701,♪ IT'S TIME TO MAKE IT HOT ♪
00:01:07.701,00:01:08.735,♪ GET IT UP ♪
00:01:08.735,00:01:09.569,♪ YOU KNOW ♪
00:01:09.569,00:01:10.403,♪ THAT WE DON'T STOP ♪
00:01:10.403,00:01:12.038,"♪ NA, AND WHEN YOU GET IT HOT ♪"
00:01:12.038,00:01:14.241,"♪ NA, YOU GOTTA BE ON TOP ♪"
00:01:14.241,00:01:15.208,♪ NA NA NA NA-NA NA ♪
00:01:15.208,00:01:16.309,"♪ ALL, ALL, ALL, ALL, ALL ♪"
00:01:16.309,00:01:18.378,♪ NA NA NA NA-NA NA ♪
00:01:18.378,00:01:19.312,♪ ALL THE LADIES ♪
00:01:19.312,00:01:20.513,♪ NA NA NA NA-NA NA ♪
00:01:20.513,00:01:21.314,WANNA BE ON TOP?
00:01:21.314,00:01:22.682,♪ NA NA NA NA-NA NA ♪
00:01:22.682,00:01:23.316,WHOO!
00:01:23.316,00:01:25.352,♪ NA NA NA NA-NA NA ♪
00:01:25.352,00:01:26.286,♪ NA NA NA NA-NA ♪
00:01:26.286,00:01:27.420,"♪ ALL, ALL, ALL, ALL ♪"
00:01:27.420,00:01:31.558,>> WANNA BE ON TOP?
00:01:31.558,00:01:33.827,(static hisses)
00:01:37.831,00:01:42.502,♪♪♪♪♪
00:01:42.502,00:01:43.470,>> OH.
00:01:43.470,00:01:44.538,>> TYRA!
00:01:44.538,00:01:45.539,>> HI!
00:01:45.539,00:01:46.273,>> HI!
00:01:46.273,00:01:47.340,WE WALK INTO THE HOUSE
00:01:47.340,00:01:48.575,"AFTER ELIMINATION,"
00:01:48.575,00:01:49.509,AND WE SAW TYRA.
00:01:49.509,00:01:51.478,IT WAS JUST A GREAT SURPRISE
00:01:51.478,00:01:52.913,'CAUSE WE HAVEN'T REALLY HAD
00:01:52.913,00:01:54.948,"MUCH, LIKE, FACE-TO-FACE TIME"
00:01:54.948,00:01:55.749,WITH HER
00:01:55.749,00:01:56.850,EXCEPT FOR AT PANEL.
00:01:56.850,00:01:57.784,>> THREE GIRLS
00:01:57.784,00:01:58.752,ON THE RUNWAY HERE
00:01:58.752,00:01:59.853,AND FIVE BACK THERE.
00:01:59.853,00:02:00.820,EVERYBODY GET
00:02:00.820,00:02:01.855,YOUR PAD AND PAPER.
00:02:01.855,00:02:03.023,ARE WE DOING GOOD?
