Start Time,End Time,Text
00:00:02.503,00:00:06.807,"Tyra: LAST SEASON ON ""AMERICA'S
NEXT TOP MODEL""..."
00:00:06.807,00:00:10.377,"ADRIANNE CURRY WENT FROM
WAITRESSING IN JOLIET,"
00:00:10.377,00:00:11.378,"ILLINOIS, TO TOP MODEL,"
00:00:11.378,00:00:14.047,"NOW IN DEMAND BY REVLON,"
00:00:14.047,00:00:16.049,"TOP MAGAZINES AND
DESIGNERS."
00:00:16.049,00:00:19.219,"NOW WE'VE DISCOVERED A
NEW GROUP OF UNKNOWNS,"
00:00:19.219,00:00:21.255,"LIKE CALIFORNIA GIRL HEATHER,
AWAY FROM HOME"
00:00:21.255,00:00:23.156,"FOR THE FIRST TIME,"
00:00:23.156,00:00:26.126,"PERSIAN BEAUTY SARA WHO FEARS
HER FATHER'S REACTION TO"
00:00:26.126,00:00:28.629,"HER SECRET DREAM OF MODELING,
JENASCIA, A SASSY WAITRESS,"
00:00:28.629,00:00:33.300,"WHO AT 5'7"" SEES
HERSELF AS THE NEXT KATE MOSS."
00:00:34.234,00:00:37.671,"LAST WEEK THE GIRLS LEARNED
HOW TO WORK THE RUNWAY."
00:00:40.974,00:00:42.976,"YOANNA ACCUSED CAMILLE OF
GOSSIPING BEHIND HER BACK."
00:00:42.976,00:00:44.978,"Camille: WHAT ARE YOU HEARING?
WHAT ARE YOU HEARING?"
00:00:44.978,00:00:46.980,"Yoanna: DON'T START.
DON'T START."
00:00:46.980,00:00:48.448,I DON'T TRUST YOU.
00:00:48.448,00:00:50.450,"Tyra: AND SHANDI
STRUGGLED TO KEEP UP."
00:00:50.450,00:00:52.686,"Janice: ARE YOU KIDDING
ME WITH THAT WALK?"
00:00:52.686,00:00:55.188,"Tyra: BUT IT WAS
BETHANY WHO WAS SENT HOME."
00:00:55.188,00:00:56.323,TEN GIRLS REMAIN.
00:00:56.323,00:00:59.226,"WHO WILL BE
ELIMINATED TONIGHT?"
00:00:59.226,00:01:01.595,♪♪♪
00:01:42.135,00:01:44.571,"Shandi: THE LAST ELIMINATION,
I SERIOUSLY THOUGHT"
00:01:44.571,00:01:46.707,IT WAS GONNA BE ME.
00:01:46.707,00:01:50.077,"I KEEP THINKING
ABOUT HOW BAD MY WALK WAS."
00:01:50.077,00:01:53.547,"TO COMPETE AGAINST THESE
OTHER GIRLS, I NEED TO BE"
00:01:53.547,00:01:55.549,ONE STEP ABOVE IT.
