Start Time,End Time,Text
00:00:01.234,00:00:03.237,"Tyra: PREVIOUSLY ON
""AMERICA'S NEXT TOP MODEL""..."
00:00:03.237,00:00:05.672,"Robin: ""A FOOL HATH SAID IN
HIS HEART, 'THERE IS NO GOD.'"""
00:00:05.672,00:00:08.876,"Tyra: ROBIN TRIED TO FORCE
HER RELIGION ON ELYSE."
00:00:08.876,00:00:10.177,"Robin: THAT MADE ME
THINK OF YOU."
00:00:10.177,00:00:11.979,"Elyse: THAT WAS
A REALLY FORWARD THING TO DO."
00:00:11.979,00:00:13.680,Ebony: THE COMPETITION...
00:00:13.680,00:00:14.448,"Tyra: AND EBONY TRIED
TO CONCEAL TYRA MAIL"
00:00:14.448,00:00:16.183,FROM THE GROUP.
00:00:16.183,00:00:17.951,"Robin: THOSE DEMONS THAT
YOU HAVE WITHIN YOURSELF"
00:00:17.951,00:00:19.152,ARE GOING TO COME OUT.
00:00:19.152,00:00:20.187,"Ebony: WELL, ROBIN,
I'M SORRY."
00:00:20.187,00:00:22.322,THIS IS A MODEL COMPETITION.
00:00:22.322,00:00:24.291,"Tyra: THE GIRLS PUT
THEIR SEXUALITY ON THE LINE."
00:00:24.291,00:00:26.226,"Katie: THE SEX APPEAL
AND STUFF--THAT'S JUST ME."
00:00:26.226,00:00:28.061,"Tyra: KATIE'S OVERT
SENSUALITY HURT HER,"
00:00:28.061,00:00:30.330,"AND SHE WAS THE ONE
ASKED TO LEAVE."
00:00:30.330,00:00:32.131,♪♪♪
00:01:03.463,00:01:04.965,"Adrianne: WITH KATIE
BEING ELIMINATED,"
00:01:04.965,00:01:06.934,"IT'S GONNA BE WEIRD.
THAT IS ONE PERSON"
00:01:06.934,00:01:08.168,I DID NOT EXPECT TO GO.
00:01:08.168,00:01:09.770,DID YOU?
00:01:09.770,00:01:12.372,"LAST JUDGMENT DAY
IT WAS REALLY HARD ON ME"
00:01:12.372,00:01:15.976,"BECAUSE I FELT LIKE
I COULDN'T GIVE IT MY BEST."
00:01:15.976,00:01:19.212,"Tyra: ADRIANNE,
THAT RUNWAY WALK, GIRL--"
00:01:19.212,00:01:20.247,WERE YOU PRESENT?
00:01:20.247,00:01:21.915,"Adrianne: YES, MA'AM."
00:01:21.915,00:01:26.219,"I MEAN, THE REALITY
HAS FINALLY HIT ME THAT"
00:01:26.219,00:01:28.255,THERE IS GONNA BE ELIMINATIONS.
00:01:28.255,00:01:30.123,"I WANTED TO QUIT SMOKING,"
00:01:30.123,00:01:32.926,"BUT TODAY WAS
REALLY NERVE-RACKING."
00:01:32.926,00:01:34.361,"Elyse: IT SEEMS THAT ADRIANNE
IS TAKING THE COMPETITION"
00:01:34.361,00:01:36.363,"A LITTLE BIT TOO SERIOUSLY,"
00:01:36.363,00:01:40.834,"SO I'M GETTING A CERTAIN
JUST STRESSFUL VIBE FROM HER."
00:01:40.834,00:01:43.136,"Adrianne: THERE'S MONEY ISSUES
IN MY FAMILY,"
00:01:43.136,00:01:46.039,"AND THAT'S WHY
I REALLY, REALLY NEED THIS."
00:01:46.039,00:01:47.341,"Nicole: OKAY, WAIT,
YOU GUYS ARE GONNA LIKE THIS."
00:01:47.341,00:01:48.742,Giselle: HOW CUTE IS THAT?
