Start Time,End Time,Text
00:00:08.179,00:00:09.081,>> PREVIOUSLY ON
00:00:09.081,00:00:11.349,>> AMERICAN'S NEXT TOP MODEL
00:00:11.349,00:00:12.818,>> JAEDA'S MAKEOVER LEFT HER
00:00:12.818,00:00:14.686,WITH LINGERING INSECURITIES.
00:00:14.686,00:00:16.521,>> (sobs)
00:00:16.521,00:00:17.923,"I MISS MY OTHER HAIR,"
00:00:17.923,00:00:18.957,AND NO MATTER HOW MUCH
00:00:18.957,00:00:20.092,"I WANT IT BACK,"
00:00:20.092,00:00:21.526,I'M NOT GONNA GET IT BACK.
00:00:21.526,00:00:22.728,>> AND MONIQUE LASHED OUT
00:00:22.728,00:00:25.397,AT MELROSE ONCE AGAIN.
00:00:25.397,00:00:26.398,>> SHE JUST WIPED SOMETHING
00:00:26.398,00:00:28.033,ON MY BED.
00:00:28.033,00:00:29.234,>> IT'S SO ICKY.
00:00:29.234,00:00:33.138,>> (laughing)
00:00:33.138,00:00:34.139,>> THEN WHEN AN ILLNESS
00:00:34.139,00:00:35.140,CAUSED MONIQUE
00:00:35.140,00:00:36.541,TO MISS HER PHOTO SHOOT...
00:00:36.541,00:00:38.342,>> CAN'T KEEP NOTHING DOWN.
00:00:38.342,00:00:39.344,>> HER PAST PERFORMANCE
00:00:39.344,00:00:40.312,WAS NOT STRONG ENOUGH
00:00:40.312,00:00:41.646,TO SAVE HER.
00:00:41.646,00:00:43.181,TEN GIRLS REMAIN.
00:00:43.181,00:00:46.418,WHO WILL BE ELIMINATED TONIGHT?
00:00:48.153,00:00:50.422,>> DO YOU WANT TO BE ON TOP?
00:00:53.425,00:00:56.361,♪♪
00:01:35.634,00:01:36.635,>> MONIQUE BATTLED ME
00:01:36.635,00:01:37.636,THE WHOLE TIME SHE WAS HERE.
00:01:37.636,00:01:38.637,>> SO--
00:01:38.637,00:01:39.638,>> LAST WEEK WHEN THEY WERE
00:01:39.638,00:01:40.639,CALLING THE LAST NAME
00:01:40.639,00:01:41.640,"AND THEY CALLED HER NAME,"
00:01:41.640,00:01:42.641,"I WAS LIKE, BEFORE THEY CALLED"
00:01:42.641,00:01:43.642,"HER NAME, I'M LIKE,"
00:01:43.642,00:01:44.643,I HOPE THEY CHOOSE MONIQUE.
00:01:44.643,00:01:45.644,>> MONIQUE'S PRETTY MUCH
00:01:45.644,00:01:46.645,THE ONLY ONE OUT OF ALL 13 GIRLS
00:01:46.645,00:01:47.612,THAT I DIDN'T LIKE.
00:01:47.612,00:01:48.613,"AND, LIKE, LAST WEEK,"
00:01:48.613,00:01:49.614,EVERYBODY KIND OF FELT
00:01:49.614,00:01:50.615,JUSTICE WAS SERVED.
00:01:50.615,00:01:52.284,>> THE HOUSE IS SO MUCH BETTER
00:01:52.284,00:01:53.285,WITHOUT MONIQUE.
00:01:53.285,00:01:54.286,"I'M NOT SITTING THERE LIKE,"
00:01:54.286,00:01:55.287,"""WHAT IS SHE GONNA DO"
00:01:55.287,00:01:56.321,"TO ME NEXT?"""
00:01:56.321,00:01:58.890,IT'S JUST... ALMOST A RELIEF.
00:01:58.890,00:02:00.325,IT IS A RELIEF.
00:02:00.325,00:02:01.560,>> GOOD-BYE!
00:02:01.560,00:02:02.561,>> IT LOOKS LIKE A PARTY
00:02:02.561,00:02:03.995,IN HERE.
00:02:03.995,00:02:05.931,ALL RIGHT. LET ME IN...
00:02:09.100,00:02:10.101,>> HOW MANY GIRLS CAN YOU FIT
00:02:10.101,00:02:11.102,IN THE DAMN SHOWER?
00:02:11.102,00:02:12.103,">> YEAH, I WANNA TRY."
00:02:12.103,00:02:15.874,>> WHOO!
00:02:15.874,00:02:17.742,>> (yelps)
00:02:17.742,00:02:18.743,>> WE ONLY HAVE THREE HOURS
00:02:18.743,00:02:19.744,TO SLEEP.
00:02:19.744,00:02:20.812,>> I CAN'T WAIT TO GO...
00:02:20.812,00:02:21.813,>> CAN WE ALL JUST TRY
00:02:21.813,00:02:22.814,"AND, LIKE, BE RESPECTFUL THAT"
00:02:22.814,00:02:23.949,SOME PEOPLE ARE TRYING TO GET
00:02:23.949,00:02:25.684,THAT THREE HOURS OF SLEEP?
00:02:25.684,00:02:26.685,>> MELROSE FRUSTRATES ME
00:02:26.685,00:02:27.686,"VERY MUCH,"
00:02:27.686,00:02:29.254,"AND I'M LIKE, DON'T COMPLAIN."
00:02:29.254,00:02:30.255,"LIKE, THIS IS SUPPOSED"
00:02:30.255,00:02:31.256,TO BE FUN.
00:02:31.256,00:02:32.324,I JUST WANNA ROCK 'N' ROLL
00:02:32.324,00:02:33.124,AND HAVE A GOOD TIME.
00:02:33.124,00:02:34.125,">> IT'S JUST, LIKE, ONE NIGHT"
00:02:34.125,00:02:35.126,THAT I'M ASKING THAT
00:02:35.126,00:02:35.627,"YOU GUYS JUST, LIKE,"
00:02:35.627,00:02:38.129,"TAKE IT DOWN A NOTCH, OKAY?"
00:02:38.129,00:02:39.097,>> BITCH.
00:02:40.699,00:02:41.733,>> MELROSE ALWAYS RUBS GIRLS
00:02:41.733,00:02:42.767,THE WRONG WAY.
00:02:42.767,00:02:44.102,SHE'S A LITTLE MISS KNOW-IT-ALL.
00:02:46.671,00:02:49.608,♪♪
00:02:52.744,00:02:53.712,>> I HAVE PEOPLE LOOKING AT ME
00:02:53.712,00:02:54.713,LIKE THEY CAN'T--THEY'RE NOT
00:02:54.713,00:02:56.514,SURE EXACTLY WHAT I AM...
00:02:56.514,00:02:57.515,>> PLEASE.
00:02:57.515,00:02:58.516,>> IF I'M A BOY
00:02:58.516,00:02:59.517,"THAT'S, LIKE, GIRLY,"
00:02:59.517,00:03:01.820,OR IF I'M A GIRL THAT'SBOY-Y.
00:03:01.820,00:03:03.121,">> EVER SINCE I GOT MY HAIR CUT,"
00:03:03.121,00:03:04.122,I'M SICK OF IT.
00:03:04.122,00:03:05.156,"I JUST WANNA BE MY NORMAL SELF,"
00:03:05.156,00:03:06.157,AND I'M NOT.
00:03:06.157,00:03:07.225,>> PEOPLE HAVE SEEN PEOPLE
00:03:07.225,00:03:08.226,WITH SHORT HAIR BEFORE.
00:03:08.226,00:03:09.227,YOU AIN'T THE ONLY ONE.
00:03:09.227,00:03:10.228,">> WELL, I FEEL LIKE,"
00:03:10.228,00:03:11.529,"AFTER BEING IN THE BOTTOM TWO,"
00:03:11.529,00:03:12.597,IT DOES MAKE MY CONFIDENCE
00:03:12.597,00:03:13.598,A LITTLE LOWER.
00:03:13.598,00:03:14.599,"LIKE, ANYTHING I TRY,"
00:03:14.599,00:03:15.600,"I'M USUALLY GOOD AT IT,"
00:03:15.600,00:03:16.601,AND... I REALLY DIDN'T REALIZE
00:03:16.601,00:03:18.536,WHAT MODELING IS.
00:03:18.536,00:03:18.937,>> YEAH.
00:03:18.937,00:03:19.938,>> I KNEW MODELING
00:03:19.938,00:03:20.939,"WAS HARD WORK,"
00:03:20.939,00:03:21.606,BUT I DIDN'T KNOW
00:03:21.606,00:03:22.607,"IT WAS THIS HARD, YOU KNOW?"
00:03:22.607,00:03:23.608,">> IT WAS, LIKE, HARD WORK."
00:03:23.608,00:03:24.209,>> IT'S SO FUNNY.
00:03:24.209,00:03:24.843,DO YOU WANT TO COME DOWN
00:03:24.843,00:03:25.377,TO EAT WITH US?
00:03:25.377,00:03:28.146,">> SURE. I JUST ATE, THOUGH."
00:03:28.146,00:03:29.948,I AM THE VOLUPTUOUS GIRL
00:03:29.948,00:03:30.949,IN THE HOUSE.
00:03:30.949,00:03:32.851,I DON'T HAVE THE FLAT STOMACH.
00:03:32.851,00:03:34.452,I DO HAVE LARGER BREASTS.
00:03:34.452,00:03:35.620,I HAVE HIPS.
00:03:35.620,00:03:37.522,I'M LEARNING TO LIVE WITH IT.
00:03:37.522,00:03:38.523,">> ANCHAL, ARE YOU COOKING"
00:03:38.523,00:03:39.691,FOR A SMALL FAMILY?
00:03:42.160,00:03:43.161,>> THAT'S A LOT OF EGGS.
00:03:43.161,00:03:44.162,>> I'VE DEALT
00:03:44.162,00:03:45.163,WITH SO MANY ISSUES
00:03:45.163,00:03:46.164,THROUGHOUT MY CHILDHOOD.
00:03:46.164,00:03:47.165,I WAS REALLY UGLY.
