Start Time,End Time,Text
00:00:07.512,00:00:08.212,>> PREVIOUSLY ON
00:00:08.280,00:00:09.214,"""AMERICA'S NEXT TOP MODEL""..."
00:00:09.281,00:00:10.214,THE GIRLS MOVED INTO
00:00:10.281,00:00:12.284,THEIR STYLISH NEW DIGS...
00:00:12.350,00:00:16.121,">> TOP MODEL, BABY! TOP MODEL!"
00:00:16.188,00:00:17.189,>> AND MONIQUE
00:00:17.189,00:00:18.123,WENT ON THE OFFENSIVE.
00:00:18.190,00:00:19.124,>> THINK THEY'RE GONNA WANNA
00:00:19.191,00:00:20.125,SLEEP HERE NOW?
00:00:20.192,00:00:21.126,>> MONIQUE--SHE STOLE MY BED.
00:00:21.193,00:00:22.127,I WANTED TO FIGHT HER.
00:00:22.194,00:00:23.128,">> AT THE PHOTO SHOOT,"
00:00:23.195,00:00:24.129,MICHELLE ROCKED
00:00:24.196,00:00:25.130,"HER CONTROVERSIAL PHOTO,"
00:00:25.197,00:00:26.131,AND MELROSE WAS A DIVA
00:00:26.198,00:00:26.898,ON THE SET.
00:00:26.965,00:00:27.365,">> I'VE BEEN READY FOR,"
00:00:27.432,00:00:28.366,"LIKE, SIX HOURS,"
00:00:28.433,00:00:29.367,BUT THEN I GOT MY MASSAGE
00:00:29.434,00:00:30.368,"WITH MY MAKEUP ON, AND THEN..."
00:00:30.435,00:00:31.369,>> REALLY?
00:00:31.436,00:00:32.537,THE ATTITUDE RIGHT NOW--
00:00:32.604,00:00:33.538,JUST LISTEN.
00:00:33.605,00:00:34.539,>> AND CHRISTIAN'S
00:00:34.606,00:00:35.640,LACK OF ORIGINALITY
00:00:35.707,00:00:37.642,"JUST COULDN'T MAKE THE CUT,"
00:00:37.709,00:00:39.945,AND SHE WAS SENT HOME.
00:00:40.011,00:00:41.213,12 GIRLS REMAIN.
00:00:41.279,00:00:43.849,WHO WILL BE ELIMINATED TONIGHT?
00:00:43.915,00:00:46.084,♪♪
00:00:46.151,00:00:47.753,>> YOU WANNA BE ON TOP?
00:01:30.061,00:01:31.296,>> I SUCK SO BAD AT RUNWAY.
00:01:31.363,00:01:32.297,">> NO, BUT YOU STILL LOOKED GOOD"
00:01:32.364,00:01:33.298,WHEN YOU WERE--WHEN YOU DID IT.
00:01:33.365,00:01:34.299,>> THANK YOU.
00:01:34.366,00:01:35.300,I LOVE MEGAN.
00:01:35.367,00:01:36.301,"LIKE, SHE'S JUST SUCH A GREAT,"
00:01:36.368,00:01:37.302,"LIKE, PERSONALITY."
