Start Time,End Time,Text
00:00:07.345,00:00:08.413,>> PREVIOUSLY ON
00:00:08.413,00:00:09.548,AMERICAN'S NEXT TOP MODEL
00:00:10.015,00:00:10.649,>> THE GIRLS LEARNED
00:00:10.649,00:00:11.650,HOW TO STRUT THEIR STUFF
00:00:11.650,00:00:13.318,WITH DITA VON TEESE...
00:00:13.318,00:00:14.319,>> SHOWING THE FOOT OFF
00:00:14.319,00:00:15.287,"AND, LIKE, GOING UP YOUR LEG."
00:00:15.287,00:00:16.655,>> WHOO!
00:00:16.655,00:00:18.657,">> AND FOUND THEMSELVES ON THE
MENU"
00:00:18.657,00:00:21.626,AT A SEXY CHALLENGE.
00:00:21.626,00:00:21.960,THAT LEFT ANCHAL
00:00:21.960,00:00:23.428,WORRIED ABOUT HER APPEARANCE.
00:00:23.428,00:00:24.629,>> IT'S NOT LIKE
00:00:24.629,00:00:25.630,I WANT TO GAIN MORE WEIGHT.
00:00:25.630,00:00:26.965,IT'S JUST THAT I STRESS OUT
00:00:26.965,00:00:28.233,>> ROMANCE WAS IN THE AIR
00:00:28.233,00:00:30.135,AT A PHOTO SHOOT WITH FABIO...
00:00:30.135,00:00:31.670,>> I JUST FELL IN LOVE!
00:00:31.670,00:00:33.238,>> BUT BROOKE COULDN'T CONQUER
00:00:33.238,00:00:34.473,HER INHIBITIONS...
00:00:34.473,00:00:35.474,>> RIGHT NOW YOU'RE GOING...
00:00:35.474,00:00:36.475,(retches) AND IT'S LIKE
00:00:36.475,00:00:37.476,CHUNKSVILLE IN HERE.
00:00:37.476,00:00:39.411,>> AND SHE WAS SENT HOME.
00:00:39.411,00:00:40.912,SEVEN GIRLS REMAIN.
00:00:40.912,00:00:43.448,WHO WILL BE ELIMINATED TONIGHT?
00:00:46.151,00:00:47.152,>> ♪ YOU WANT TO BE ON TOP? ♪
00:00:47.152,00:00:48.793,♪♪
00:01:26.024,00:01:29.294,♪♪
00:01:29.294,00:01:29.928,">> HEY, GUYS,"
00:01:29.928,00:01:30.929,WE GOT A LETTER FROM BROOKE.
00:01:30.929,00:01:33.665,">> IT WAS A HUGE SURPRISE,
BROOKE GOING HOME."
00:01:35.233,00:01:35.667,>> EUGENA.
00:01:36.268,00:01:37.169,>> NO ONE EXCEPTED IT.
00:01:37.402,00:01:38.303,EVERYONE WAS SO SAD.
00:01:39.337,00:01:41.039,">> ♪ WE LOVE YOU, BROOKE ♪"
00:01:41.039,00:01:41.873,♪ AND WE GONNA ♪
00:01:41.873,00:01:44.176,♪ MISS YOU LIKE HELL ♪
00:01:44.176,00:01:45.677,♪ YOU BROUGHT TO THIS HOUSE ♪
00:01:45.677,00:01:47.445,♪ A FEELING I COULD FEEL ♪
00:01:49.447,00:01:50.582,I SAW AN IMPROVEMENT IN HER
00:01:50.582,00:01:52.184,BIGGER THAN ANYONE ELSE.
00:01:52.184,00:01:53.185,">> IT JUST SUCKS BECAUSE,"
00:01:53.185,00:01:54.519,"YOU KNOW, SO MANY PEOPLE"
00:01:54.519,00:01:55.487,DON'T APPRECIATE THIS.
00:01:55.487,00:01:56.154,>> I COULD GO FROM
00:01:56.154,00:01:56.555,8:00 IN THE MORNING
00:01:56.555,00:01:57.155,TILL 8:00 AT NIGHT
00:01:57.155,00:01:59.090,"FOR TEN YEARS DOING THIS,"
00:01:59.090,00:02:00.058,AND BE HAPPY WITH IT.
00:02:00.058,00:02:00.492,">> WITH ME,"
00:02:00.492,00:02:01.493,IT'S THE EXACT OPPOSITE
00:02:01.493,00:02:02.494,OF EVERYBODY.
00:02:02.494,00:02:03.495,THIS WAS NEVER MY DREAM.
00:02:03.495,00:02:04.496,I HAVE THE TALENT TO BE A MODEL.
00:02:04.496,00:02:05.497,I JUST DON'T KNOW IF I HAVE
00:02:05.497,00:02:06.565,EVERYTHING THAT IT TAKES--
00:02:06.565,00:02:07.566,"LIKE, YOU KNOW,"
00:02:07.566,00:02:08.500,"THE--THE FASHION KNOWLEDGE,"
00:02:08.500,00:02:09.568,WHICH I KNOW I DON'T HAVE.
00:02:09.568,00:02:10.368,"I HAVE NO IDEA WHAT I'M DOING,"
00:02:10.368,00:02:11.369,AND I...
00:02:11.369,00:02:12.571,I'M NOT HAVING--
00:02:12.571,00:02:15.240,I'M NOT FIGURING IT OUT.
00:02:15.606,00:02:16.607,>> I WANT THIS.
00:02:16.607,00:02:17.609,I WANT TO WIN THIS.
00:02:17.609,00:02:18.610,I WANT TO DO BIG THINGS
00:02:18.610,00:02:19.945,"WITH MY LIFE,"
00:02:19.945,00:02:22.013,AND I'M SEEING PEOPLE STAY
00:02:22.013,00:02:23.014,WEEK AFTER WEEK
