Start Time,End Time,Text
00:00:09.673,00:00:10.875,">> GIRLS, IT'S TIME FOR CLASS."
00:00:10.941,00:00:12.243,>> IT WAS BACK TO HIGH SCHOOL
00:00:12.309,00:00:13.244,FOR THE GIRLS.
00:00:13.310,00:00:15.012,THEY HAD A PROM FASHION SHOW...
00:00:15.079,00:00:17.148,>> OW! OW!
00:00:17.214,00:00:19.283,HOT MAMAS AT THE PROM.
00:00:19.350,00:00:21.051,>> AND A HIGH SCHOOL CLICHé
00:00:21.118,00:00:22.052,PHOTO SHOOT...
00:00:22.119,00:00:23.721,>> DON'T BE AFRAID TO GO THERE.
00:00:23.788,00:00:24.722,>> WHERE SAMANTHA
00:00:24.789,00:00:25.723,HAD A HARD TIME
00:00:25.790,00:00:26.724,BEING THE GIRL WITH
00:00:26.791,00:00:27.858,"THE BAD REPUTATION,"
00:00:27.925,00:00:29.393,AND SHE WAS SENT HOME.
00:00:29.460,00:00:30.795,11 GIRLS REMAIN.
00:00:30.861,00:00:33.864,WHO WILL BE ELIMINATED TONIGHT?
00:00:35.766,00:00:36.767,>> YOU WANT TO BE ON TOP?
00:00:36.834,00:00:39.870,♪♪♪
00:01:15.840,00:01:19.810,♪♪♪
00:01:19.877,00:01:20.811,>> I DON'T WANT
00:01:20.878,00:01:21.512,TO BE THE FAT GIRL.
00:01:21.579,00:01:22.079,>> THAT'S--THAT'S EXTREMELY--
00:01:22.146,00:01:23.080,"SEE, I DON'T SEE MYSELF"
00:01:23.147,00:01:24.081,"AS A FAT GIRL, EITHER."
00:01:24.148,00:01:25.082,"I JUST SEE CURVES, YOU KNOW?"
00:01:25.149,00:01:26.083,>> YEAH. YEAH.
00:01:26.150,00:01:27.084,>> BEING A PLUS-SIZE MODEL
00:01:27.151,00:01:28.085,IN THIS PARTICULAR COMPETITION
00:01:28.152,00:01:29.086,IS DIFFICULT.
00:01:29.153,00:01:30.087,BUT I DO ALSO HAVE WHITNEY
00:01:30.154,00:01:31.088,TO TALK TO.
00:01:31.155,00:01:32.089,NOT ONLY ARE WE BOTH
00:01:32.156,00:01:34.124,"PLUS-SIZE MODELS,"
00:01:34.191,00:01:35.125,BUT WE BOTH CLICK.
00:01:35.192,00:01:36.126,"I NEVER, LIKE, REALLY LEARNED"
00:01:36.193,00:01:37.127,"HOW TO, LIKE, YOU KNOW,"
00:01:37.194,00:01:38.128,"POSE MY BODY TO MAKE IT LOOK,"
00:01:38.195,00:01:39.129,"LIKE, REAL GOOD."
00:01:39.196,00:01:40.130,">> LIKE, MAKE IT LOOK GOOD"
00:01:40.163,00:01:40.498,FOR YOU.
00:01:40.564,00:01:41.499,">> YEAH, 'CAUSE YOU DON'T WANT"
00:01:41.565,00:01:42.500,"NO ROLLS, LIKE, HANGING OFF,"
00:01:42.566,00:01:43.167,YOU KNOW?
00:01:43.234,00:01:45.870,>> YEAH. EXACTLY.
00:01:45.936,00:01:46.871,">> I MEAN,"
00:01:46.904,00:01:47.838,ARE YOU SAD AT OTHER TIMES?
00:01:47.905,00:01:48.839,ARE YOU DOWN?
00:01:48.906,00:01:49.840,>> THE ONLY TIME I'M DOWN
00:01:49.907,00:01:50.841,"IS 'CAUSE, YOU KNOW,"
00:01:50.908,00:01:52.276,I'M MISSING MY FAMILY.
00:01:52.343,00:01:55.379,CASSANDRA REALLY MAKES ME FIND
00:01:55.446,00:01:56.747,MY INNER PEACE.
00:01:56.814,00:01:58.282,SHE JUST KNOWS WHAT TO SAY
00:01:58.349,00:01:59.550,AND WHEN TO SAY IT.
00:01:59.617,00:02:00.551,>> YOU WORRY ABOUT
00:02:00.618,00:02:01.552,PLEASING GOD AND YOU.
00:02:01.619,00:02:02.553,>> YES.
00:02:02.620,00:02:03.554,>> BE YOU.
00:02:03.621,00:02:04.555,I'M JUST BLESSED
00:02:04.622,00:02:05.556,AND I LOVE PEOPLE.
00:02:05.623,00:02:06.624,"AND I KNOW IT'S A COMPETITION,"
00:02:06.690,00:02:07.625,BUT I CAN STILL COMPETE
00:02:07.691,00:02:08.759,AND BE WHO I AM
00:02:08.826,00:02:09.827,"AND BE, YOU KNOW,"
00:02:09.894,00:02:11.996,NICE TO PEOPLE.
00:02:12.062,00:02:14.665,♪♪♪
00:02:14.731,00:02:16.267,>> (laughing) COME SEE.
00:02:16.333,00:02:18.569,>> IS THIS LOOK FOR ME?
00:02:18.636,00:02:19.570,">> YES, THE CHRISTMAS TREE"
00:02:19.637,00:02:20.971,IS A VERY GOOD LOOK FOR YOU.
00:02:21.038,00:02:22.339,>> THAT'S ALL YOU RIGHT THERE.
00:02:22.406,00:02:23.741,>> I KNOW I'M PRETTY DIFFERENT
00:02:23.807,00:02:24.742,"THAN MOST OF THE GIRLS,"
00:02:24.808,00:02:25.743,BUT I HAVE
00:02:25.809,00:02:26.944,AN OPPORTUNITY OF A LIFETIME
00:02:27.011,00:02:27.945,"TO BE HERE,"
00:02:28.012,00:02:30.114,AND I SHOULD FOCUS ON BEING
00:02:30.180,00:02:33.551,THE BEST MODEL I CAN BE.
00:02:33.617,00:02:35.686,>> (singsong voice) TYRA MAIL.
00:02:35.753,00:02:37.555,">> ""WE CUT ONLY ONE LAST NIGHT,"
00:02:37.621,00:02:40.057,BUT WE'LL CUT A FEW OF YOU
