Start Time,End Time,Text
00:00:10.315,00:00:12.719,">> RENEE WAS DISHING OUT
OPINIONS ONCE AGAIN."
00:00:12.719,00:00:15.388,">> DO YOU HONESTLY THINK THAT
THERE'S EVER GONNA BE A
PLUS-SIZED MODEL"
00:00:15.388,00:00:15.988,"ON THE COVER OF ""VOGUE""?"
00:00:15.988,00:00:16.956,>> GET OUT OF MY FACE.
00:00:16.956,00:00:18.391,>> GO!
00:00:18.391,00:00:19.325,>> GO! LET'S GO!
00:00:19.325,00:00:20.461,>> SARAH'S CHALLENGE WIN
00:00:20.461,00:00:21.528,GAVE HER THE ADVANTAGE
00:00:21.528,00:00:22.629,AT THE PHOTO SHOOT.
00:00:22.629,00:00:26.333,">> THIS EXERCISE MAY HAVE SAVED
YOU IN THIS COMPETITION."
00:00:26.333,00:00:27.334,>> BUT DIANA AND WHITNEY
00:00:27.334,00:00:28.335,STRUGGLED.
00:00:28.335,00:00:29.336,>> THERE'S STILL
00:00:29.336,00:00:30.338,AN ELEMENT OF CONTROL THERE.
00:00:30.338,00:00:31.339,">> IN THE END,"
00:00:31.339,00:00:32.340,DIANA'S LACK OF FOCUS
00:00:32.340,00:00:33.341,WAS HER UNDOING...
00:00:33.341,00:00:34.342,"DIANA, WE DON'T FEEL"
00:00:34.342,00:00:35.744,THAT FIRE AND THAT PASSION.
00:00:35.744,00:00:38.345,AND SHE WAS SENT HOME.
00:00:38.345,00:00:39.348,EIGHT GIRLS REMAIN.
00:00:39.348,00:00:41.817,WHO WILL BE ELIMINATED TONIGHT?
00:00:46.622,00:00:47.923,>> DO YOU WANT TO BE ON TOP?
00:00:47.923,00:00:51.461,♪♪
00:01:29.170,00:01:30.471,">> DIANA, DARLING."
00:01:30.471,00:01:32.139,(laughs)
00:01:32.139,00:01:34.074,"DIANA WAS MY BEST FRIEND IN THE
HOUSE."
00:01:34.074,00:01:35.276,"WHEN SHE FIRST LEFT,"
00:01:35.276,00:01:37.012,IT DID HIT ME REALLY HARD.
00:01:38.079,00:01:41.249,"WE BOTH WERE PUSHING FOR EACH
OTHER TO MAKE IT A LOT FURTHER."
00:01:41.249,00:01:42.250,I LOVE YOU.
00:01:42.250,00:01:43.318,AND I KNOW THAT DIANA
00:01:43.318,00:01:44.586,"WANTS ME TO GO, YOU KNOW,"
00:01:44.586,00:01:45.755,BEAT THEM SKINNY BITCHES
00:01:45.755,00:01:47.123,AND SHOW ALL THE OTHER GIRLS
00:01:47.123,00:01:48.090,THAT I AM A THREAT
00:01:48.090,00:01:48.991,TO THIS COMPETITION.
00:01:49.492,00:01:52.428,♪♪
00:01:52.428,00:01:54.163,>> TYRA MAIL!
