Start Time,End Time,Text
00:00:10.849,00:00:12.217,>> A PHONE CALL FROM HOME...
00:00:12.217,00:00:13.785,">> OH, NO!"
00:00:13.785,00:00:15.253,>> BROUGHT JAEL THE TRAGIC NEWS
00:00:15.253,00:00:16.688,OF A FRIEND'S DEATH.
00:00:16.688,00:00:18.824,>> SHE'S NOT HERE ANYMORE.
00:00:18.824,00:00:20.225,>> BUT YOU'RE GONNA BE OKAY.
00:00:20.225,00:00:21.226,>> AND EVERYONE
00:00:21.226,00:00:22.226,BARED THEIR SKIN
00:00:22.226,00:00:23.228,AT THE PHOTO SHOOT.
00:00:23.228,00:00:24.229,">> YOU KNOW WHAT, JAY?"
00:00:24.229,00:00:25.230,I THINK I'M MORE COMFORTABLE
00:00:25.230,00:00:26.431,NAKED.
00:00:26.431,00:00:27.466,>> BUT CASSANDRA'S PHOTO
00:00:27.466,00:00:31.236,FAILED TO DELIVER.
00:00:31.236,00:00:32.304,>> YOU HEARD THE JUDGING PANEL--
00:00:32.304,00:00:33.305,SILENCE.
00:00:33.305,00:00:34.439,>> AND SHE WAS SENT HOME.
00:00:34.439,00:00:35.440,TEN GIRLS REMAIN.
00:00:35.440,00:00:37.809,WHO WILL BE ELIMINATED TONIGHT?
00:00:37.809,00:00:38.610,(drumroll)
00:00:41.913,00:00:43.682,>> YOU WANT TO BE ON TOP?
00:00:43.682,00:00:47.219,♪♪
00:01:23.321,00:01:24.322,>> I NEVER WANT TO BE
00:01:24.322,00:01:25.891,DOWN AT THE BOTTOM EVER AGAIN.
00:01:25.891,00:01:26.892,I CAN'T HANDLE THAT.
00:01:26.892,00:01:27.392,">> WELL, THEY TOLD ME"
00:01:27.392,00:01:28.894,I'M NOT A MODEL.
00:01:28.894,00:01:29.895,>> WHEN'D THEY SAY THAT?
00:01:29.895,00:01:30.896,">> SHE WAS LIKE,"
00:01:30.896,00:01:31.897,"""I SEE SUCH A PRETTY GIRL,"
00:01:31.897,00:01:33.799,BUT... THE JUDGES DON'T THINK
00:01:33.799,00:01:35.066,"THAT YOU'RE A MODEL."""
00:01:35.066,00:01:36.234,I LEFT A VERY GOOD SCHOOL
00:01:36.234,00:01:37.235,TO COME HERE AND BE ON
00:01:37.235,00:01:38.870,"""AMERICA'S NEXT TOP MODEL."""
00:01:38.870,00:01:39.905,"I GO TO DARTMOUTH,"
00:01:39.905,00:01:41.673,"AND I'M NOT ON FINANCIAL AID,"
00:01:41.673,00:01:42.974,"SO THAT'S $9,000"
00:01:42.974,00:01:43.975,THAT I'M GONNA BE IN THE HOLE
00:01:43.975,00:01:45.243,TO MY FATHER.
00:01:45.243,00:01:46.244,SO IF YOU DON'T THINK
00:01:46.244,00:01:47.612,"THAT I LOOK OR ACT LIKE A MODEL,"
00:01:47.612,00:01:48.747,I'M GONNA MAKE YOU KNOW
00:01:48.747,00:01:50.515,THAT I'M A MODEL.
00:01:50.515,00:01:52.884,>> TYRA MAIL!
00:01:52.884,00:01:53.885,">> ""STRIKE A POSE,"
00:01:53.885,00:01:55.487,AS IF THERE'S NOTHING TO IT.
00:01:55.487,00:01:57.756,"LOVE, TYRA."""
00:01:57.756,00:02:01.459,♪♪
00:02:01.459,00:02:03.395,>> MY LITTLE GRASSHOPPER.
00:02:03.395,00:02:04.396,">> COME ON, WE GOTTA DO IT"
00:02:04.396,00:02:05.397,IN THE MIRROR SO I CAN SEE.
00:02:05.397,00:02:06.464,>> OKAY.
00:02:06.464,00:02:07.465,"I KNOW THAT JAEL'S PRETTY UPSET,"
00:02:07.465,00:02:08.466,"YOU KNOW,"
00:02:08.466,00:02:09.467,ABOUT LOSING HER FRIEND.
00:02:09.467,00:02:10.468,"BUT I THOUGHT THAT, YOU KNOW,"
00:02:10.468,00:02:11.503,"IF I TAUGHT HER A DANCE,"
00:02:11.503,00:02:12.571,IT'D TAKE HER MIND OFF OF IT
00:02:12.571,00:02:13.572,A LITTLE BIT.
00:02:13.572,00:02:16.508,"ONE, TWO, THREE, FOUR."
00:02:16.508,00:02:17.509,">> MY FRIEND DIED,"
00:02:17.509,00:02:19.044,BUT I DON'T FEEL ALONE
00:02:19.044,00:02:20.045,GOING THROUGH THIS.
00:02:20.045,00:02:21.479,I FEEL REALLY FORTUNATE
00:02:21.479,00:02:22.547,"TO, LIKE,"
00:02:22.547,00:02:24.349,HAVE FRIENDS IN THE HOUSE.
00:02:24.349,00:02:25.483,FUN!
00:02:25.483,00:02:26.651,>> (speaks indistinctly)
00:02:26.651,00:02:28.019,"HEY, DON'T SHOW THE GIRLS."
00:02:28.019,00:02:29.087,>> (both speaking indistinctly)
00:02:29.087,00:02:30.088,>> I FEEL LIKE
00:02:30.088,00:02:31.089,A LOT OF THE GIRLS IN THE HOUSE
00:02:31.089,00:02:32.090,DON'T UNDERSTAND ME.
00:02:32.090,00:02:33.091,"LIKE, THEY'RE JUST LOOKING"
00:02:33.091,00:02:34.092,FOR WAYS TO BE OFFENDED BY ME.
00:02:34.092,00:02:35.093,I DON'T KNOW WHY.
00:02:35.093,00:02:36.094,I FEEL LIKE THEY...
00:02:36.094,00:02:39.097,JUST DON'T LIKE ME.
00:02:47.205,00:02:47.906,>> THIS MORNING
00:02:47.906,00:02:50.275,IS A BRAND-NEW MORNING FOR ME.
00:02:50.275,00:02:51.710,"I WOKE UP AND I THOUGHT,"
00:02:51.710,00:02:52.711,"YOU KNOW WHAT, RENEE?"
00:02:52.711,00:02:53.678,YOU'VE BEEN GETTING INTO IT
00:02:53.678,00:02:54.679,WITH ALL THE GIRLS
00:02:54.679,00:02:55.680,QUITE A LOT...
00:02:55.680,00:02:56.648,"I HAVE BEEN NOTHING BUT NICE TO
YOU,"
00:02:56.648,00:02:58.183,NOTHING BUT GENUINE TO YOU.
00:02:58.183,00:02:59.684,DON'T--DON'T GET DEFENSIVE.
00:02:59.684,00:03:01.786,"YOU--YOU WANT ME NOT TO STATE MY
OPINIONS?"
00:03:02.320,00:03:03.321,I WANNA WIN THIS.
00:03:03.321,00:03:04.322,I'M NOT GONNA WIN IT
00:03:04.322,00:03:05.323,"WITH A BITCHY ATTITUDE,"
00:03:05.323,00:03:06.858,SO I GOTTA STOP BEING MEAN.
00:03:06.858,00:03:09.361,SO I'M MAKING A CHANGE.
00:03:09.361,00:03:10.395,>> OW!
00:03:10.395,00:03:11.663,>> JAEL?
00:03:11.663,00:03:12.664,>> WHAT?
00:03:12.664,00:03:14.299,>> I HAVE SOMETHING FOR YOU.
00:03:14.299,00:03:14.766,>> WHAT?
00:03:14.766,00:03:16.101,">> AND I DON'T WANT YOU TO TAKE
OFFENSE TO IT,"
00:03:16.101,00:03:19.204,"'CAUSE I DON'T MEAN IT
OFFENSIVELY."
00:03:20.071,00:03:21.373,>> WHAT?
00:03:21.373,00:03:22.374,"NOW WHAT ARE YOU TALKING ABOUT,"
00:03:22.374,00:03:23.541,"""OFFENSIVELY""?"
00:03:23.541,00:03:24.542,">> WELL, 'CAUSE IT'S"
00:03:24.542,00:03:25.543,"A STRAIGHTJACKET,"
00:03:25.543,00:03:26.978,BUT IT'S NOT TIED.
00:03:26.978,00:03:27.946,>> THAT'S FUN.
00:03:27.946,00:03:28.947,>> DO YOU LIKE THAT?
00:03:28.947,00:03:29.948,>> I NEED IT TIED.
