Start Time,End Time,Text
00:00:08.013,00:00:08.847,>> PREVIOUSLY...
00:00:08.847,00:00:10.782,ON AMERICA'S NEXT TOP MODEL
00:00:10.782,00:00:11.750,ON A GO-SEE RACE
00:00:11.750,00:00:12.584,"AROUND SYDNEY,"
00:00:12.584,00:00:13.285,BRITTANY'S TEMPER
00:00:13.285,00:00:14.285,"GOT THE BEST OF HER,"
00:00:14.285,00:00:16.121,AND SHE WAS DISQUALIFIED.
00:00:16.121,00:00:17.154,>> STOP TELLING ME
00:00:17.154,00:00:17.889,NOT TO BE UPSET!
00:00:17.889,00:00:19.291,I CAN BE UPSET IF I WANT TO.
00:00:19.291,00:00:20.292,">> IN THE PHOTO SHOOT,"
00:00:20.292,00:00:20.692,THE GIRLS
00:00:20.692,00:00:21.693,HAD TO SELL THEIR LOOK
00:00:21.693,00:00:23.195,FOR MEN AND WOMEN.
00:00:23.195,00:00:24.129,>> THAT'S GREAT.
00:00:24.129,00:00:24.996,>> NICE.
00:00:24.996,00:00:27.132,">> OH, MY GOD. THAT LOOKS HOT!"
00:00:27.132,00:00:28.166,>> DESPITE HER TALENTS
00:00:28.166,00:00:28.867,"IN FRONT OF THE CAMERA,"
00:00:28.867,00:00:29.868,BRITTANY'S PRESENCE
00:00:29.868,00:00:30.869,FAILED HER...
00:00:30.869,00:00:31.870,NONE OF THE CLIENTS SAID THAT
00:00:31.870,00:00:32.871,THEY WANTED TO BOOK YOU--
00:00:32.871,00:00:34.005,NOT ONE OF THEM.
00:00:34.005,00:00:35.874,AND SHE WAS SENT HOME.
00:00:35.874,00:00:37.109,FOUR GIRLS REMAIN--
00:00:37.109,00:00:38.643,"DIONNE, RENEE,"
00:00:38.643,00:00:40.378,JASLENE AND NATASHA.
00:00:40.378,00:00:42.581,WHO WILL BE ELIMINATED TONIGHT?
00:00:45.016,00:00:46.017,YOU WANNA BE ON TOP?
00:00:46.017,00:00:51.356,♪♪♪
00:01:25.257,00:01:27.559,♪♪♪
00:01:34.332,00:01:35.867,>> TYRA MAIL!
00:01:35.867,00:01:37.135,"""SOME OF YOU BELIEVE THAT"
00:01:37.135,00:01:39.070,"YOU ARE BORN TO BE A TOP MODEL,"
00:01:39.070,00:01:40.172,BUT I SENSE THAT
00:01:40.172,00:01:41.907,"ONLY ONE WILL HAVE THE HEART,"
00:01:41.907,00:01:43.008,SOUL AND SPIRIT
00:01:43.008,00:01:44.543,TO MAKE IT TO THE TOP.
00:01:44.543,00:01:46.311,"LOVE, TYRA."""
00:01:46.311,00:01:47.612,>> I DON'T GET IT.
00:01:47.612,00:01:48.613,CAN'T EVEN PUT A FINGER
00:01:48.613,00:01:50.015,ON WHAT'S GONNA HAPPEN.
00:01:50.015,00:01:51.616,MY MIND IS JUST SO FAR GONE.
00:01:51.616,00:01:52.617,I'M TIRED.
00:01:52.617,00:01:53.618,I CAN'T EVEN THINK ABOUT
00:01:53.618,00:01:54.886,WHAT THIS TYRA MAIL MEANS.
00:01:54.886,00:01:55.887,"SO I WAS LIKE,"
00:01:55.887,00:01:58.023,"WHATEVER HAPPENS, HAPPENS."
00:01:58.023,00:01:59.024,I'M FENNA TAKE MY ASS TO SLEEP.
00:01:59.024,00:02:00.025,>> DID YOU THINK
00:02:00.025,00:02:01.293,BRITTANY WAS GOING HOME TODAY?
00:02:01.293,00:02:02.761,>> NOT UNTIL WE GOT INTO PANEL.
00:02:02.761,00:02:03.762,>> CAN YOU BELIEVE
00:02:03.762,00:02:05.764,THE FINAL FOUR IS THIS GROUP?
00:02:05.764,00:02:06.832,">> LAST PANEL,"
00:02:06.832,00:02:07.833,MYSELF AND BRITTANY
00:02:07.833,00:02:09.568,WERE IN THE BOTTOM TWO.
00:02:09.568,00:02:11.269,THEY SAY THAT I DO THIS THING
00:02:11.269,00:02:13.004,"CALLED ""SCOWLING"" A LOT,"
00:02:13.004,00:02:14.005,WHICH MEANS THAT
00:02:14.005,00:02:15.506,I LOOK MEAN ALL THE TIME.
00:02:15.506,00:02:16.508,I DON'T KNOW
